,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
3819,Koko Head Elementary School,Public district,PK-5,300.0,14:1,Hawaii Department Of Education,8,Above average,"189 Lunalilo Home Rd, Honolulu, HI, 96825",2
3820,Kapalama Elementary School,Public district,PK-5,566.0,15:1,Hawaii Department Of Education,8,Above average,"1601 North School St, Honolulu, HI, 96817",2
3821,Voyager - A Public Charter School,Public charter,K-8,294.0,18:1,Hawaii Department Of Education,8,Above average,"2428 Wilder Ave, Honolulu, HI, 96822",2
3822,Houghton Central High School,Public district,9-12,429.0,17:1,Houghton-Portage Township School District,10,Top rated,"1603 Gundlach Road, Houghton, MI, 49931",4
3823,Houghton Elementary School,Public district,K-5,661.0,17:1,Houghton-Portage Township School District,7,Above average,"203 West Jacker Avenue, Houghton, MI, 49931",2
3824,Houghton Middle School,Public district,6-8,343.0,21:1,Houghton-Portage Township School District,6,Average,"1603 Gundlach Road, Houghton, MI, 49931",2
3830,Dularge Elementary School,Public district,PK-6,373.0,16:1,Terrebonne Parish School District,10,Top rated,"621 Bayou Dularge Road, Houma, LA, 70363",2
3831,Mulberry Elementary School,Public district,PK-6,916.0,17:1,Terrebonne Parish School District,9,Above average,"450 Cougar Drive, Houma, LA, 70360",2
3832,Bayou Blue Elementary School,Public district,PK-4,731.0,15:1,Lafourche Parish School District,8,Above average,"1916 Bayou Blue Road, Houma, LA, 70364",2
3833,Bayou Black Elementary School,Public district,PK-6,188.0,14:1,Terrebonne Parish School District,8,Above average,"4449 Bayou Black Drive, Houma, LA, 70360",2
3834,Oakshire Elementary School,Public district,PK-6,699.0,16:1,Terrebonne Parish School District,8,Above average,"5459 Vicari Street, Houma, LA, 70364",2
3835,Terrebonne High School,Public district,9-12,1303.0,18:1,Terrebonne Parish School District,8,Above average,"7318 West Main Street, Houma, LA, 70360",2
3836,Bayou Blue Middle School,Public district,4-8,461.0,13:1,Lafourche Parish School District,7,Above average,"196 Mazerac Street, Houma, LA, 70364",2
3837,Acadian Elementary School,Public district,PK-4,758.0,14:1,Terrebonne Parish School District,7,Above average,"1020 Saadi Street, Houma, LA, 70363",2
3838,Elysian Fields Middle School,Public district,4-6,337.0,17:1,Terrebonne Parish School District,7,Above average,"700 Hibernia Place, Houma, LA, 70363",2
3839,Legion Park Middle School,Public district,PK-6,319.0,15:1,Terrebonne Parish School District,7,Above average,"710 Williams Avenue, Houma, LA, 70364",2
3840,Broadmoor Elementary School,Public district,PK-6,620.0,17:1,Terrebonne Parish School District,6,Average,"1010 Broadmoor Avenue, Houma, LA, 70364",2
3841,Coteau-Bayou Blue Elementary School,Public district,PK-6,702.0,15:1,Terrebonne Parish School District,6,Average,"2550 Coteau Road, Houma, LA, 70364",2
3842,Grand Caillou Elementary School,Public district,PK-4,525.0,16:1,Terrebonne Parish School District,6,Average,"3933 Grand Caillou Road, Houma, LA, 70363",2
3843,Lisa Park Elementary School,Public district,PK-6,648.0,16:1,Terrebonne Parish School District,6,Average,"6639 Lisa Park Avenue, Houma, LA, 70364",2
3844,Southdown Elementary School,Public district,PK-6,360.0,17:1,Terrebonne Parish School District,6,Average,"1124 Saint Charles Street, Houma, LA, 70360",2
3845,Village East Elementary School,Public district,4-6,223.0,13:1,Terrebonne Parish School District,6,Average,"315 Lafayette Woods Boulevard, Houma, LA, 70363",2
3846,Ellender Memorial High School,Public district,9-12,1012.0,17:1,Terrebonne Parish School District,5,Average,"3012 Patriot Drive, Houma, LA, 70363",2
3847,Evergreen Junior High School,Public district,7-8,744.0,15:1,Terrebonne Parish School District,5,Average,"5000 West Main Street, Houma, LA, 70360",2
3848,Houma Junior High School,Public district,7-9,660.0,17:1,Terrebonne Parish School District,5,Average,"315 Saint Charles Street, Houma, LA, 70360",2
3849,Grand Caillou Middle School,Public district,5-8,374.0,20:1,Terrebonne Parish School District,4,Below average,"2161 Grand Caillou Road, Houma, LA, 70363",2
3850,Oaklawn Junior High School,Public district,7-8,443.0,14:1,Terrebonne Parish School District,3,Below average,"2215 Acadian Drive, Houma, LA, 70363",2
3851,Honduras Elementary School,Public district,PK-3,301.0,14:1,Terrebonne Parish School District,2,Below average,"530 Grand Caillou Road, Houma, LA, 70363",2
3855,Kipp Shine Prep,Public charter,PK-5,857.0,20:1,KIPP Inc Charter,10,Top rated,"6700 Bellaire Boulevard, Houston, TX, 77074",2
3856,Kipp Sharp College Prep,Public charter,PK-4,898.0,24:1,KIPP Inc Charter,10,Top rated,"6700 Bellaire Boulevard, Houston, TX, 77074",2
3857,KIPP Unity Primary School,Public charter,PK-4,500.0,21:1,KIPP Inc Charter,10,Top rated,"8500 Highway 6 South, Houston, TX, 77083",2
3858,The School For Highly Gifted Students,Public district,K-8,94.0,6:1,Spring Branch Independent School District,10,Top rated,"8390 Westview Drive, Houston, TX, 77055",2
3859,Debakey High School For Health ProfTexas,Public district,9-12,890.0,15:1,Houston Independent School District,10,Top rated,"3100 Shenandoah Street, Houston, TX, 77021",2
3860,River Oaks Elementary School,Public district,PK-5,645.0,16:1,Houston Independent School District,10,Top rated,"2008 Kirby Drive, Houston, TX, 77019",2
3861,West University Elementary School,Public district,PK-5,1304.0,15:1,Houston Independent School District,10,Top rated,"3756 University Boulevard, Houston, TX, 77005",2
3862,Project Chrysalis Middle School,Public district,6-8,263.0,15:1,Houston Independent School District,10,Top rated,"4528 Leeland Street, Houston, TX, 77023",2
3863,Frostwood Elementary School,Public district,PK-5,707.0,17:1,Spring Branch Independent School District,10,Top rated,"12214 Memorial Drive, Houston, TX, 77024",2
3864,Rummel Creek Elementary School,Public district,PK-5,737.0,18:1,Spring Branch Independent School District,10,Top rated,"625 Brittmoore Road, Houston, TX, 77079",2
3865,Wilchester Elementary School,Public district,PK-5,793.0,17:1,Spring Branch Independent School District,10,Top rated,"13618 Saint Marys Lane, Houston, TX, 77079",2
3866,Challenge Early College High SchoolTexas,Public district,9-12,468.0,16:1,Houston Independent School District,9,Above average,"5601 West Loop South Freeway, Houston, TX, 77081",2
3867,East Early College High SchoolTexas,Public district,9-12,485.0,18:1,Houston Independent School District,9,Above average,"220 North Milby Street, Houston, TX, 77003",2
3868,Clear Horizons Early College High SchoolTexas,Public district,9-12,442.0,30:1,Clear Creek Independent School District,9,Above average,"13735 Beamer Road, Houston, TX, 77089",2
3869,North Houston Early College High SchoolTexas,Public district,9-12,471.0,17:1,Houston Independent School District,9,Above average,"8001 Fulton Street, Houston, TX, 77022",2
3870,James De Anda Elementary,Public district,PK-5,669.0,16:1,Houston Independent School District,9,Above average,"7980 Almeda-Genoa Road, Houston, TX, 77075",2
3871,Alief Early College High School,Public district,9-12,402.0,20:1,Alief Independent School District,9,Above average,"2811 Hayes Road, Houston, TX, 77082",4
3872,Mandarin Chinese Language Immersio,Public district,PK-7,638.0,14:1,Houston Independent School District,9,Above average,"5445 West Alabama Street, Houston, TX, 77056",2
3873,Kerr High SchoolTexas,Public district,9-12,806.0,20:1,Alief Independent School District,9,Above average,"8150 Sugarland Howell Road, Houston, TX, 77083",2
3874,Bush Elementary School,Public district,PK-5,903.0,18:1,Houston Independent School District,9,Above average,"13800 Westerloch Drive, Houston, TX, 77077",2
3875,Lanier Middle School,Public district,6-8,1469.0,17:1,Houston Independent School District,9,Above average,"2600 Woodhead Street, Houston, TX, 77098",2
3876,Oak Forest Elementary School,Public district,PK-5,874.0,15:1,Houston Independent School District,9,Above average,"1401 West 43rd Street, Houston, TX, 77018",2
3877,Perfor & Vis Arts High School,Public district,9-12,753.0,15:1,Houston Independent School District,9,Above average,"4001 Stanford Street, Houston, TX, 77006",4
3878,Roberts Elementary School,Public district,PK-5,759.0,16:1,Houston Independent School District,9,Above average,"6000 Greenbriar Drive, Houston, TX, 77030",2
3879,Eastwood AcademyTexas,Public district,9-12,427.0,17:1,Houston Independent School District,9,Above average,"1315 Dumble Street, Houston, TX, 77023",2
3880,Fairview Elementary School,Public district,PK-6,331.0,23:1,Bonneville Joint District,10,Top rated,"979 East 97th North, Idaho Falls, ID, 83401",2
3881,Westside Elementary School,Public district,PK-6,472.0,23:1,Idaho Falls District,9,Above average,"2680 Newman Drive, Idaho Falls, ID, 83402",2
3882,Taylors Crossing Charter School,Public charter,PK-12,392.0,23:1,Taylors Crossing Charter School,8,Above average,"1445 Wood River Road, Idaho Falls, ID, 83401",4
3883,Discovery Elementary School,Public district,PK-6,573.0,28:1,Bonneville Joint District,8,Above average,"2935 North Goldenrod Drive, Idaho Falls, ID, 83401",2
3884,Sunnyside Elementary School,Public district,PK-6,600.0,26:1,Idaho Falls District,8,Above average,"165 Cobblestone Lane, Idaho Falls, ID, 83404",2
3885,Compass Academy,Public district,9-12,473.0,21:1,Idaho Falls District,7,Above average,"955 Garfield Street, Idaho Falls, ID, 83401",2
3886,American Heritage Charter School,Public charter,PK-11,342.0,20:1,American Heritage Charter District,6,Average,"1736 South 35th West, Idaho Falls, ID, 83402",2
3887,Ethel Boyes Elementary School,Public district,PK-6,401.0,22:1,Idaho Falls District,6,Average,"1875 Brentwood Drive, Idaho Falls, ID, 83402",2
3888,Mountain Valley Elementary School,Public district,PK-6,495.0,27:1,Bonneville Joint District,5,Average,"2601 Princess Drive, Idaho Falls, ID, 83406",2
3889,Summit Hills Elementary School,Public district,K-6,540.0,25:1,Bonneville Joint District,5,Average,"2853 North Lucina Avenue, Idaho Falls, ID, 83401",2
3890,Longfellow Elementary School,Public district,PK-6,528.0,23:1,Idaho Falls District,5,Average,"2500 South Higbee Avenue, Idaho Falls, ID, 83404",2
3891,Technical Careers High School,Public district,9-12,94.0,8:1,Bonneville Joint District,4,Below average,"3497 North Ammon Road, Idaho Falls, ID, 83401",2
3892,Bonneville Online High School,Public district,7-12,256.0,26:1,Bonneville Joint District,4,Below average,"3385 East Iona Road, Idaho Falls, ID, 83401",2
3893,Bonneville High School,Public district,9-12,1590.0,23:1,Bonneville Joint District,4,Below average,"3165 East Iona Road, Idaho Falls, ID, 83401",2
3894,Idaho Falls Senior High School,Public district,9-12,1259.0,20:1,Idaho Falls District,4,Below average,"601 South Holmes Avenue, Idaho Falls, ID, 83401",2
3895,Rocky Mountain Middle School,Public district,7-8,1016.0,25:1,Bonneville Joint District,3,Below average,"3443 North Ammon Road, Idaho Falls, ID, 83401",2
3896,A H Bush Elementary School,Public district,PK-6,424.0,22:1,Idaho Falls District,3,Below average,"380 West Anderson Street, Idaho Falls, ID, 83402",2
3897,Edgemont Gardens Elementary School,Public district,PK-6,502.0,24:1,Idaho Falls District,3,Below average,"1240 Azalea Drive, Idaho Falls, ID, 83404",2
3898,Skyline Senior High School,Public district,9-12,1266.0,20:1,Idaho Falls District,3,Below average,"1767 Blue Sky Drive, Idaho Falls, ID, 83402",2
3899,Foxhollow Elementary School,Public district,PK-6,456.0,22:1,Idaho Falls District,3,Below average,"2365 Genevieve Way, Idaho Falls, ID, 83402",2
3900,Taylorview Junior High School,Public district,7-9,840.0,18:1,Idaho Falls District,3,Below average,"350 Castlerock Lane, Idaho Falls, ID, 83404",2
3901,Falls Valley Elementary School,Public district,PK-6,531.0,26:1,Bonneville Joint District,2,Below average,"2455 Virlow Street, Idaho Falls, ID, 83401",2
3902,Cloverdale Elementary School,Public district,PK-6,556.0,24:1,Bonneville Joint District,2,Below average,"3999 Greenwillow Lane, Idaho Falls, ID, 83401",2
3903,Dora Erickson Elementary School,Public district,PK-6,444.0,25:1,Idaho Falls District,2,Below average,"850 Cleveland Street, Idaho Falls, ID, 83401",2
3904,Eagle Rock Junior High School,Public district,7-9,761.0,17:1,Idaho Falls District,2,Below average,"2020 Pancheri Drive, Idaho Falls, ID, 83402",2
3905,Eisenhower Elementary School,Public district,4-5,225.0,13:1,Indiana Area School District,8,Above average,"1460 School Street, Indiana, PA, 15701",2
3906,Horace Mann El School,Public district,4-5,197.0,12:1,Indiana Area School District,8,Above average,"205 South 5th Street, Indiana, PA, 15701",2
3907,Indiana Area Junior High School,Public district,6-8,690.0,13:1,Indiana Area School District,8,Above average,"245 North 5th Street, Indiana, PA, 15701",2
3908,East Pike El School,Public district,PK-3,415.0,13:1,Indiana Area School District,8,Above average,"501 East Pike Road, Indiana, PA, 15701",2
3909,Indiana Area Senior High School,Public district,9-12,851.0,14:1,Indiana Area School District,7,Above average,"450 North 5th Street, Indiana, PA, 15701",2
3910,Rayne El School,Public district,PK-6,289.0,12:1,Marion Center Area School District,6,Average,"2535 Route 119 Highway North, Indiana, PA, 15701",2
3911,Ben Franklin El School,Public district,PK-3,468.0,13:1,Indiana Area School District,6,Average,"95 Ben Franklin Road South, Indiana, PA, 15701",2
3930,Bohumil Shimek Elementary School,Public district,PK-6,241.0,19:1,Iowa City Community School District,9,Above average,"1400 Grissel Place, Iowa City, IA, 52245",2
3931,Lincoln Elementary School,Public district,PK-6,229.0,19:1,Iowa City Community School District,8,Above average,"300 Teeters Court, Iowa City, IA, 52246",2
3932,Norman Borlaug Elementary School,Public district,PK-6,494.0,22:1,Iowa City Community School District,7,Above average,"1000 Kennedy Parkway, Iowa City, IA, 52246",2
3933,Herbert Hoover Elementary School,Public district,PK-6,296.0,16:1,Iowa City Community School District,7,Above average,"2200 East Court Street, Iowa City, IA, 52245",2
3934,Longfellow Elementary School,Public district,PK-6,335.0,18:1,Iowa City Community School District,7,Above average,"1130 Seymour Avenue, Iowa City, IA, 52240",2
3935,Weber Elementary School,Public district,K-6,496.0,18:1,Iowa City Community School District,5,Average,"3850 Rohret Rd, Iowa City, IA, 52246",2
3936,Ernest Horn Elementary School,Public district,K-6,412.0,19:1,Iowa City Community School District,5,Average,"600 Koser Avenue, Iowa City, IA, 52246",2
3937,Helen Lemme Elementary School,Public district,PK-6,376.0,19:1,Iowa City Community School District,5,Average,"3100 East Washington Street, Iowa City, IA, 52245",2
3938,Horace Mann Elementary School,Public district,PK-6,239.0,19:1,Iowa City Community School District,5,Average,"521 North Dodge Street, Iowa City, IA, 52245",2
3939,Southeast Junior High School,Public district,7-8,757.0,17:1,Iowa City Community School District,5,Average,"2501 Bradford Drive, Iowa City, IA, 52240",2
3940,West Senior High School,Public district,9-12,1587.0,19:1,Iowa City Community School District,5,Average,"2901 Melrose Avenue, Iowa City, IA, 52246",2
3941,Iowa City High School,Public district,9-12,1600.0,19:1,Iowa City Community School District,3,Below average,"1900 Morningside Drive, Iowa City, IA, 52245",2
3942,Mark Twain Elementary School,Public district,PK-6,376.0,16:1,Iowa City Community School District,3,Below average,"1355 Deforest Avenue, Iowa City, IA, 52240",2
3943,Robert Lucas Elementary School,Public district,K-6,455.0,20:1,Iowa City Community School District,3,Below average,"830 Southlawn Drive, Iowa City, IA, 52245",2
3944,Elizabeth Tate Alt. High School,Public district,9-12,165.0,13:1,Iowa City Community School District,1,Below average,"1528 Mall Drive, Iowa City, IA, 52240",2
3945,Alexander Elementary,Public district,PK-6,452.0,17:1,Iowa City Community School District,1,Below average,"3571 Sycamore Street, Iowa City, IA, 52240",2
3946,Grant Wood Elementary School,Public district,PK-6,306.0,16:1,Iowa City Community School District,1,Below average,"1930 Lakeside Drive, Iowa City, IA, 52240",2
3955,Ithaca Senior High School,Public district,9-12,1407.0,12:1,Ithaca City School District,7,Above average,"1401 North Cayuga Street, Ithaca, NY, 14850",2
3956,Northeast Elementary School,Public district,K-5,461.0,12:1,Ithaca City School District,7,Above average,"425 Winthrop Drive, Ithaca, NY, 14850",2
3957,Boynton Middle School,Public district,6-8,521.0,9:1,Ithaca City School District,6,Average,"1601 North Cayuga Street, Ithaca, NY, 14850",2
3958,Dewitt Middle School,Public district,6-8,460.0,10:1,Ithaca City School District,6,Average,"560 Warren Road, Ithaca, NY, 14850",2
3959,South Hill School,Public district,PK-5,415.0,11:1,Ithaca City School District,6,Average,"520 Hudson Street, Ithaca, NY, 14850",2
3960,Belle Sherman School,Public district,PK-5,367.0,11:1,Ithaca City School District,5,Average,"501 Mitchell Street, Ithaca, NY, 14850",2
3961,Fall Creek Elementary School,Public district,K-5,228.0,13:1,Ithaca City School District,5,Average,"202 King Street, Ithaca, NY, 14850",2
3962,Cayuga Heights Elementary,Public district,K-5,342.0,12:1,Ithaca City School District,4,Below average,"110 East Upland Road, Ithaca, NY, 14850",2
3963,New Roots Charter School,Public charter,9-12,142.0,9:1,,4,Below average,"116 North Cayuga Street, Ithaca, NY, 14851",2
3964,Lehman Alternative Community School,Public district,6-12,304.0,12:1,Ithaca City School District,3,Below average,"111 Chestnut Street, Ithaca, NY, 14850",2
3965,Beverly J Martin Elementary School,Public district,PK-5,281.0,8:1,Ithaca City School District,3,Below average,"302 West Buffalo Street, Ithaca, NY, 14850",2
3966,Enfield School,Public district,PK-5,201.0,10:1,Ithaca City School District,2,Below average,"20 Enfield Main Road, Ithaca, NY, 14850",2
3981,Power Apac School,Public district,4-5,138.0,6:1,Jackson Public School Dist,10,Top rated,"1120 Riverside Drive, Jackson, MS, 39216",2
3982,Davis Magnet School,Public district,K-5,266.0,14:1,Jackson Public School Dist,10,Top rated,"750 North Congress Street, Jackson, MS, 39202",2
3983,Casey Elementary School,Public district,K-5,403.0,18:1,Jackson Public School Dist,8,Above average,"2101 Lake Circle, Jackson, MS, 39211",2
3984,Key Elementary School,Public district,PK-5,344.0,16:1,Jackson Public School Dist,8,Above average,"699 West Mcdowell Road, Jackson, MS, 39212",2
3985,Northwest Middle School,Public district,6-8,388.0,13:1,Jackson Public School Dist,8,Above average,"7020 U.S. 49, Jackson, MS, 39213",2
3986,Baker Elementary School,Public district,PK-5,291.0,17:1,Jackson Public School Dist,7,Above average,"300 East Santa Clair Street, Jackson, MS, 39212",2
3987,Lester Elementary School,Public district,K-5,369.0,19:1,Jackson Public School Dist,7,Above average,"2350 Oakhurst Drive, Jackson, MS, 39204",2
3988,Pecan Park Elementary School,Public district,PK-5,465.0,19:1,Jackson Public School Dist,6,Average,"415 Claiborne Avenue, Jackson, MS, 39209",2
3989,Kirksey Middle School,Public district,6-8,320.0,12:1,Jackson Public School Dist,5,Average,"651 James M. Davis Drive, Jackson, MS, 39206",2
3990,Reimagine Prep,Public charter,5-6,413.0,21:1,Reimagine Prep,5,Average,"309 West Mcdowell Road, Jackson, MS, 39212",2
3991,Barr Elementary School,Public district,PK-5,213.0,16:1,Jackson Public School Dist,5,Average,"1593 West Capitol Street, Jackson, MS, 39203",2
3992,Lake Elementary Sch,Public district,PK-5,264.0,13:1,Jackson Public School Dist,5,Average,"472 Mount Vernon Avenue, Jackson, MS, 39209",2
3993,Marshall Elementary School,Public district,PK-5,406.0,18:1,Jackson Public School Dist,5,Average,"2909 Oak Forest Drive, Jackson, MS, 39212",2
3994,Mc Leod Elementary School,Public district,K-5,533.0,21:1,Jackson Public School Dist,5,Average,"1616 Sandlewood Place, Jackson, MS, 39211",2
3995,Murrah High School,Public district,9-12,1367.0,19:1,Jackson Public School Dist,5,Average,"1400 Murrah Drive, Jackson, MS, 39216",4
3996,Mcwillie Elementary School,Public district,PK-6,432.0,18:1,Jackson Public School Dist,4,Below average,"4851 Mcwillie Circle, Jackson, MS, 39206",2
3997,Dawson Elementary School,Public district,PK-5,367.0,20:1,Jackson Public School Dist,4,Below average,"4215 Sunset Drive, Jackson, MS, 39213",2
3998,Lee Elementary School,Public district,PK-5,291.0,18:1,Jackson Public School Dist,4,Below average,"330 Judy Street, Jackson, MS, 39212",2
3999,Spann Elementary School,Public district,K-5,433.0,20:1,Jackson Public School Dist,4,Below average,"1615 Brecon Drive, Jackson, MS, 39211",2
4000,Bates Elementary School,Public district,K-5,315.0,18:1,Jackson Public School Dist,3,Below average,"3180 Mcdowell Road Extension, Jackson, MS, 39204",2
4001,Callaway High School,Public district,9-12,1063.0,18:1,Jackson Public School Dist,3,Below average,"601 Beasley Road, Jackson, MS, 39206",2
4002,Clausell Elementary School,Public district,PK-5,324.0,15:1,Jackson Public School Dist,3,Below average,"3330 Harley Street, Jackson, MS, 39209",2
4003,Smith Elementary School,Public district,PK-5,356.0,20:1,Jackson Public School Dist,3,Below average,"3900 Parkway Drive, Jackson, MS, 39211",2
4004,Sykes Elementary School,Public district,K-5,388.0,14:1,Jackson Public School Dist,3,Below average,"3555 Simpson Street, Jackson, MS, 39212",2
4005,Madison Academic Magnet High School,Public district,9-12,461.0,16:1,Madison County School District,9,Above average,"179 Allen Avenue, Jackson, TN, 38301",4
4006,Parkview Montessori Magnet School,Public district,PK-8,470.0,18:1,Madison County School District,7,Above average,"230 D Street, Jackson, TN, 38301",2
4007,Northeast Middle School,Public district,6-8,890.0,16:1,Madison County School District,5,Average,"2665 Christmasville Road, Jackson, TN, 38305",2
4008,Thelma Barker Elementary School,Public district,K-5,776.0,22:1,Madison County School District,4,Below average,"1470 Ashport Road, Jackson, TN, 38305",2
4009,Andrew Jackson Elementary School,Public district,K-5,550.0,11:1,Madison County School District,4,Below average,"211 Old Hickory Boulevard, Jackson, TN, 38305",2
4010,East Elementary School,Public district,K-5,617.0,15:1,Madison County School District,4,Below average,"2480 Ashport Road, Jackson, TN, 38305",2
4011,Lincoln Magnet Elementary School,Public district,PK-5,368.0,19:1,Madison County School District,4,Below average,"425 Berry Street, Jackson, TN, 38301",2
4012,Pope Elementary School,Public district,K-5,621.0,18:1,Madison County School District,4,Below average,"1071 Old Humboldt Road, Jackson, TN, 38305",2
4013,Isaac Lane Technology Magnet Elementary School,Public district,PK-5,559.0,16:1,Madison County School District,3,Below average,"746 Lexington Avenue, Jackson, TN, 38301",2
4014,Jackson Careers Technology Magnet Elementary,Public district,K-5,509.0,14:1,Madison County School District,3,Below average,"668 Lexington Avenue, Jackson, TN, 38301",2
4015,North Parkway Middle School,Public district,6-8,748.0,14:1,Madison County School District,3,Below average,"1341 North Pw, Jackson, TN, 38305",2
4016,Alexander Elementary School,Public district,PK-5,361.0,15:1,Madison County School District,3,Below average,"900 North Highland Avenue, Jackson, TN, 38301",2
4017,North Side High School,Public district,9-12,907.0,13:1,Madison County School District,3,Below average,"3066 North Highland Avenue, Jackson, TN, 38305",2
4018,South Side High School,Public district,9-12,878.0,13:1,Madison County School District,3,Below average,"84 Harts Bridge Road, Jackson, TN, 38301",2
4019,Arlington Elementary School,Public district,PK-5,644.0,16:1,Madison County School District,2,Below average,"701 Arlington Avenue, Jackson, TN, 38301",2
4020,Liberty Technology Magnet High School,Public district,9-12,1028.0,19:1,Madison County School District,2,Below average,"3470 Ridgecrest Road, Extended, Jackson, TN, 38305",2
4030,J. Allen Axson Elementary School,Public district,PK-5,582.0,17:1,Duval,10,Top rated,"4763 Sutton Park Court, Jacksonville, FL, 32224",2
4031,Julington Creek Elementary School,Public district,PK-5,1003.0,16:1,St. Johns,10,Top rated,"2316 Race Track Road, Jacksonville, FL, 32259",2
4032,Fruit Cove Middle School,Public district,6-8,1190.0,20:1,St. Johns,9,Above average,"3180 Race Track Road, Jacksonville, FL, 32259",2
4033,New Berlin Elementary School,Public district,PK-5,1180.0,16:1,Duval,9,Above average,"3613 New Berlin Road, Jacksonville, FL, 32226",2
4034,Julia Landon College Prepartory & Leadership Development School,Public district,6-8,757.0,21:1,Duval,9,Above average,"1819 Thacker Avenue, Jacksonville, FL, 32207",2
4035,Dinsmore Elementary School,Public district,K-5,495.0,15:1,Duval,9,Above average,"7126 Civic Club Drive, Jacksonville, FL, 32219",2
4036,John Stockton Elementary School,Public district,K-5,471.0,17:1,Duval,9,Above average,"4827 Carlisle Road, Jacksonville, FL, 32210",2
4037,James Weldon Johnson College Prepartory Middle School,Public district,6-8,993.0,20:1,Duval,9,Above average,"3276 Norman E Thagard Boulevard, Jacksonville, FL, 32254",2
4038,Stanton College Preparatory,Public district,9-12,1631.0,19:1,Duval,9,Above average,"1149 West 13th Street, Jacksonville, FL, 32209",4
4039,Chet's Creek Elementary School,Public district,K-5,1315.0,16:1,Duval,9,Above average,"13200 Chets Creek Boulevard, Jacksonville, FL, 32224",2
4040,Bartram Springs Elementary School,Public district,PK-5,977.0,15:1,Duval,9,Above average,"14799 Bartram Springs Parkway, Jacksonville, FL, 32258",2
4041,River City Science Elementary Academy,Public charter,K-5,464.0,16:1,Duval,9,Above average,"7450 Beach Boulevard, Jacksonville, FL, 32216",2
4042,Duval Charter School At Flagler Center,Public charter,K-7,775.0,,Duval,9,Above average,"12755 Flagler Center Boulevard, Jacksonville, FL, 32256",2
4043,Duval Charter School at Coastal,Public charter,K-8,551.0,,Duval,9,Above average,"12800 Beach Boulevard, Jacksonville, FL, 32246",2
4044,Douglas Anderson School Of The Arts,Public district,9-12,1136.0,20:1,Duval,9,Above average,"2445 San Diego Road, Jacksonville, FL, 32207",4
4045,Alimacani Elementary School,Public district,PK-5,934.0,16:1,Duval,9,Above average,"2051 San Pablo Road South, Jacksonville, FL, 32224",2
4046,Kernan Trail Elementary School,Public district,PK-5,716.0,16:1,Duval,8,Above average,"2281 Kernan Boulevard South, Jacksonville, FL, 32246",2
4047,Biscayne Elementary School,Public district,PK-5,715.0,15:1,Duval,8,Above average,"12230 Biscayne Boulevard, Jacksonville, FL, 32218",2
4048,Alden Road Excep. Student Center,Public district,6-12,187.0,7:1,Duval,8,Above average,"11780 Alden Road, Jacksonville, FL, 32246",2
4049,River City Science Academy,Public charter,6-12,942.0,27:1,Duval,8,Above average,"7565 Beach Boulevard, Jacksonville, FL, 32216",2
4050,Fishweir Elementary School,Public district,PK-5,451.0,16:1,Duval,8,Above average,"3977 Herschel Street, Jacksonville, FL, 32205",2
4051,Loretto Elementary School,Public district,PK-5,1042.0,16:1,Duval,8,Above average,"3900 Loretto Road, Jacksonville, FL, 32223",2
4052,Thomas Jefferson Elementary School,Public district,K-5,515.0,17:1,Duval,8,Above average,"8233 Nevada Street, Jacksonville, FL, 32220",2
4053,Hogan-Spring Glen Elementary School,Public district,PK-5,342.0,14:1,Duval,8,Above average,"6736 Beach Boulevard, Jacksonville, FL, 32216",2
4054,Hendricks Avenue Elementary School,Public district,K-5,678.0,17:1,Duval,8,Above average,"3400 Hendricks Avenue, Jacksonville, FL, 32207",2
4055,Roosevelt Elementary School,Public district,PK-5,368.0,15:1,Janesville School District,8,Above average,"316 South Ringold Street, Janesville, WI, 53545",2
4056,Kennedy Elementary School,Public district,PK-5,373.0,16:1,Janesville School District,7,Above average,"3901 Randolph Road, Janesville, WI, 53546",2
4057,Rock University High School,Public charter,10-12,48.0,26:1,Janesville School District,7,Above average,"6004 South County Road G, Janesville, WI, 53546",2
4058,Harmony Elementary School,Public district,PK-3,265.0,13:1,Milton School District,6,Average,"4243 East Rotamer Road, Janesville, WI, 53546",2
4059,Harrison Elementary School,Public district,PK-5,274.0,14:1,Janesville School District,6,Average,"760 Princeton Road, Janesville, WI, 53546",2
4060,Arise Virtual Academyemy,Public charter,K-12,100.0,20:1,Janesville School District,6,Average,"450 North Crosby Avenue, Janesville, WI, 53548",2
4061,Monroe Elementary School,Public district,PK-5,399.0,15:1,Janesville School District,5,Average,"55 South Pontiac Drive, Janesville, WI, 53545",2
4062,Van Buren Elementary School,Public district,PK-5,386.0,14:1,Janesville School District,5,Average,"1515 Lapham Street, Janesville, WI, 53546",2
4063,Tagos Leadership Academy,Public charter,7-12,55.0,20:1,Janesville School District,4,Below average,"1350 North Parker Drive, Janesville, WI, 53545",2
4064,Craig High School,Public district,9-12,1688.0,14:1,Janesville School District,4,Below average,"401 South Randall Avenue, Janesville, WI, 53545",2
4065,Edison Middle School,Public district,6-8,583.0,14:1,Janesville School District,4,Below average,"1649 South Chatham Street, Janesville, WI, 53546",2
4066,Franklin Middle School,Public district,6-8,638.0,13:1,Janesville School District,4,Below average,"450 North Crosby Avenue, Janesville, WI, 53548",2
4067,Jackson Elementary School,Public district,PK-5,319.0,10:1,Janesville School District,4,Below average,"441 West Burbank Avenue, Janesville, WI, 53546",2
