,0
49618,Duval Charter School At Westside
49619,Florida Virtual Academy At Duval County
49620,Florida Virtual Academy At Clay
49621,Young Womens Leadership Academy/ Young Mens Leadership Academy
49622,BridgePrep Academy of Duval
49623,William M. Raines High School
49624,Reynolds Lane Elementary School
49625,J. E. B. Stuart Middle School
49626,Jean Ribault Middle School
49627,Joseph Stilwell Middle School
49628,Gregory Drive Elementary School
49629,Andrew A. Robinson Elementary School
49630,School Of Success Academy-Sos
49631,Enterprise Learning Academy
49632,Mt. Herman Ese Center
49633,Alfred I. Dupont Middle School
49634,Hyde Park Elementary School
49635,Sallye B. Mathis Elementary School
49636,Pinedale Elementary School
49637,Cedar Hills Elementary School
49638,Highlands Elementary School
49639,Matthew W. Gilbert Middle School
49640,Westview K-8
49641,Waverly Academy
49642,Florida Virtual Academy At Osceola County
49643,Duval Charter School At Westside
49644,Florida Virtual Academy At Duval County
49645,Florida Virtual Academy At Clay
49646,Young Womens Leadership Academy/ Young Mens Leadership Academy
49647,BridgePrep Academy of Duval
49648,William M. Raines High School
49649,Reynolds Lane Elementary School
49650,J. E. B. Stuart Middle School
49651,Jean Ribault Middle School
49652,Arlington Middle School
49653,Jefferson Davis Middle School
49654,"Martin Luther King, Jr Elementary School"
49655,Jacksonville Heights Elementary School
49656,Fort Caroline Middle School
49657,Westside High School
49658,Highlands Middle School
49659,Edward H. White High School
49660,A. Philip Randolph Academies
49661,Annie R. Morgan Elementary School
49662,Lake Forest Elementary School
49663,Ramona Boulevard Elementary School
49664,Rutledge H. Pearson Elementary School
49665,Timucuan Elementary School
49666,Susie E. Tolbert Elementary School
49667,Northwestern Middle School
49668,Grasp Academy
49669,George Washington Carver Elementary School
49670,Carter G. Woodson Elementary School
49671,Southside Middle School
49672,Pine Estates Elementary School
49673,San Pablo Christian School
49674,Beverly Hills Development Center
49675,Success Academy Christian School
49676,Providence School
49677,Arlington Middle School
49678,Jefferson Davis Middle School
49679,"Martin Luther King, Jr Elementary School"
49680,Jacksonville Heights Elementary School
49681,Fort Caroline Middle School
49682,Westside High School
49683,Highlands Middle School
49684,Edward H. White High School
49685,A. Philip Randolph Academies
49686,Annie R. Morgan Elementary School
49687,Lake Forest Elementary School
49688,Ramona Boulevard Elementary School
49689,Rutledge H. Pearson Elementary School
49690,Timucuan Elementary School
49691,Susie E. Tolbert Elementary School
49692,Northwestern Middle School
49693,Grasp Academy
49694,George Washington Carver Elementary School
49695,Carter G. Woodson Elementary School
49696,Southside Middle School
49697,Pine Estates Elementary School
49698,San Pablo Christian School
49699,Beverly Hills Development Center
49700,Success Academy Christian School
49701,Providence School
49702,Joshua Christian Academy
49703,Parsons Christian Academy
49704,Geraldine Ransome Field Christian Academy
49705,Al-Furqan Academy
49706,Center Academy-Julington Creek
49707,Oak Hill Christian Academy
49708,Baymeadows Baptist Day School
49709,New Dimensions Learning Center
49710,Center Academy-St. Johns Bluff
49711,First Coast Academy
49712,Blessed Trinity Catholic School
49713,S A Hull Pre-School Kindergarten
49714,Good Shepherd School & Daycare
49715,A Child's Place Montessori School
49716,Conservative Christian Academy
49717,Kidsmart Christian Learning Ct
49718,School of Academic Readiness
49719,Sharing & Caring Learning Cent
49720,Toddler Town Scholastics Academy
49721,Scott Mill Schools
49722,Culler Child Care Center
49723,Grace Lutheran School
49724,Harvest Community School
49725,Hilsdale Christian School
49726,House Of God Day Care Center
49727,Joshua Christian Academy
49728,Parsons Christian Academy
49729,Geraldine Ransome Field Christian Academy
49730,Al-Furqan Academy
49731,Center Academy-Julington Creek
49732,Oak Hill Christian Academy
49733,Baymeadows Baptist Day School
49734,New Dimensions Learning Center
49735,Center Academy-St. Johns Bluff
49736,First Coast Academy
49737,Blessed Trinity Catholic School
49738,S A Hull Pre-School Kindergarten
49739,Good Shepherd School & Daycare
49740,A Child's Place Montessori School
49741,Conservative Christian Academy
49742,Kidsmart Christian Learning Ct
49743,School of Academic Readiness
49744,Sharing & Caring Learning Cent
49745,Toddler Town Scholastics Academy
49746,Scott Mill Schools
49747,Culler Child Care Center
49748,Grace Lutheran School
49749,Harvest Community School
49750,Hilsdale Christian School
49751,House Of God Day Care Center
49752,Clarke Schools For Hearing & Speech -Jacksonville
49753,Little Fishers Child Development
49754,Jacksonville Christian Academy
49755,Little Linda's Day Care
49756,Little Lindas Day Care
49757,Jca - Michele Block Gan Yeladim Preschool & Kindergarten
49758,The Jericho School For Children With Autism
49759,St Johns Presbyterian Kindergarten Pre-School
49760,Academie De Montessori
49761,Arlington Day School
49762,Arlington Kindergarten
49763,St Johns Grammar School
49764,A Child's Place Mont-S Pointe
49765,Eunice Christian School
49766,Eastport Preschool & Kindergarten
49767,Gateway Community Services
49768,Mattie V Rutherford Alt Ed Center
49769,"School For Accelerated Learning And Technologies, Inc"
49770,Grand Park Career Center
49771,Victory Christian Academy
49772,American Institute
49773,Bishop John J Snyder High School
49774,Cedar Creek Christian School
49775,Children of Excellence Academy
49776,Cornerstone Christian Academy
49777,Clarke Schools For Hearing & Speech -Jacksonville
49778,Little Fishers Child Development
49779,Jacksonville Christian Academy
49780,Little Linda's Day Care
49781,Little Lindas Day Care
49782,Jca - Michele Block Gan Yeladim Preschool & Kindergarten
49783,The Jericho School For Children With Autism
49784,St Johns Presbyterian Kindergarten Pre-School
49785,Academie De Montessori
49786,Arlington Day School
49787,Arlington Kindergarten
49788,St Johns Grammar School
49789,A Child's Place Mont-S Pointe
49790,Eunice Christian School
49791,Eastport Preschool & Kindergarten
49792,Gateway Community Services
49793,Mattie V Rutherford Alt Ed Center
49794,"School For Accelerated Learning And Technologies, Inc"
49795,Grand Park Career Center
49796,Victory Christian Academy
49797,American Institute
49798,Bishop John J Snyder High School
49799,Cedar Creek Christian School
49800,Children of Excellence Academy
49801,Cornerstone Christian Academy
49802,Crossroads Arlington
49803,Esprit De Corps Center For Learning
49804,Faith Academy
49805,Global Impact Ministries Academy
49806,Keystone Academy
49807,Love for Learning Academy
49808,Mount Lebanon Christian Academy
49809,Chosen Vessles Christian Academy
49810,Project Socks Wcal
49811,Promise Land Academy
49812,Rita's Learning Center
49813,Victoria's Higher Learning Academy
49814,West Jacksonville Baptist Daycare
49815,Ft Caroline Learning Tree Dc
49816,Drop Back In Academy Of Duval County
49817,Cornerstone Christian School
49818,Broach West Elementary School
49819,Broach School South
49820,New Horizon Christian Academy
49821,Ese Pre Kindergarten Disabilities Center
49822,Shepherd Of The Woods Lutheran School
49823,Torah Academy Of Jacksonville
49824,Aba Learning Center
49825,Shekinah Christian Academy
49826,The Village Cdc-New Life
49827,Crossroads Arlington
49828,Esprit De Corps Center For Learning
49829,Faith Academy
49830,Global Impact Ministries Academy
49831,Keystone Academy
49832,Love for Learning Academy
49833,Mount Lebanon Christian Academy
49834,Chosen Vessles Christian Academy
49835,Project Socks Wcal
49836,Promise Land Academy
49837,Rita's Learning Center
49838,Victoria's Higher Learning Academy
49839,West Jacksonville Baptist Daycare
49840,Ft Caroline Learning Tree Dc
49841,Drop Back In Academy Of Duval County
49842,Cornerstone Christian School
49843,Broach West Elementary School
49844,Broach School South
49845,New Horizon Christian Academy
49846,Ese Pre Kindergarten Disabilities Center
49847,Shepherd Of The Woods Lutheran School
49848,Torah Academy Of Jacksonville
49849,Aba Learning Center
49850,Shekinah Christian Academy
49851,The Village Cdc-New Life
49852,Oasis Christian Academy
49853,Fort Caroline Baptist Academy
49854,St Stephen Child Care & Learning Center
49855,Chatmans Early Learning Christian Academy
49856,New Life Learning Center Academy
49857,Access Hope
49858,Bible Baptist Academy
49859,Rock Deliverance Christian Academy
49860,Jacksonville Jewish Pre-School
49861,Little Linda's Day Care & Christian Academy #2
49862,Cedar Hills Baptist Christian School
49863,Broach School Of Jacksonville-West Campus
49864,Plantation Christian Academy
49865,Ten Broeck Jacksonville
49866,Heritage Christian Academy
49867,Eagle Academy
49868,Holy Family Catholic School
49869,Crossroad Private School Sys.
49870,Learning Tree Day Pre-School
49871,John Love Elementary School
49872,Unf Child Develop Research Center
49873,Kingdom Kids Pre-Sch-Crossroad
49874,Zarephath Learning Center
49875,Precious Promises Pre-School
49876,Latoya Day Care Center
49877,Oasis Christian Academy
49878,Fort Caroline Baptist Academy
49879,St Stephen Child Care & Learning Center
49880,Chatmans Early Learning Christian Academy
49881,New Life Learning Center Academy
49882,Access Hope
49883,Bible Baptist Academy
49884,Rock Deliverance Christian Academy
49885,Jacksonville Jewish Pre-School
49886,Little Linda's Day Care & Christian Academy #2
49887,Cedar Hills Baptist Christian School
49888,Broach School Of Jacksonville-West Campus
49889,Plantation Christian Academy
49890,Ten Broeck Jacksonville
49891,Heritage Christian Academy
49892,Eagle Academy
49893,Holy Family Catholic School
49894,Crossroad Private School Sys.
49895,Learning Tree Day Pre-School
49896,John Love Elementary School
49897,Unf Child Develop Research Center
49898,Kingdom Kids Pre-Sch-Crossroad
49899,Zarephath Learning Center
49900,Precious Promises Pre-School
49901,Latoya Day Care Center
49902,Young Start Academy
49903,Head Start-Anders Park
49904,Highlands Precious Gifts Ps
49905,Emmett Reed Head Start Center
49906,Nanny's Northside Nursery
49907,Doe's Little Dears
49908,Little People Day Care #1
49909,Just For Kids Learning Center
49910,Learning Ladders Pre-School
49911,Robert F Kennedy Head Start
49912,Carnes Family Day Care
49913,Play Stay-Tion Day Care-Mandarin
49914,Grogan Family Day Care
49915,Wayman Early Learning Academy
49916,Mandarin Presbyterian Kindergarten
49917,First Christian Pre-School
49918,Monument Kindercare
49919,Hidden Hills Learning Tree
49920,We Care Day Care Center
49921,Super-Duck Child Care
49922,Starsville Child Care Center
49923,Stanton Pre-School Center
49924,Sunrise Day Care
49925,Ravago Family Child Care
49926,Oaks Early Learning Academy
49927,Young Start Academy
49928,Head Start-Anders Park
49929,Highlands Precious Gifts Ps
49930,Emmett Reed Head Start Center
49931,Nanny's Northside Nursery
49932,Doe's Little Dears
49933,Little People Day Care #1
49934,Just For Kids Learning Center
49935,Learning Ladders Pre-School
49936,Robert F Kennedy Head Start
49937,Carnes Family Day Care
49938,Play Stay-Tion Day Care-Mandarin
49939,Grogan Family Day Care
49940,Wayman Early Learning Academy
49941,Mandarin Presbyterian Kindergarten
49942,First Christian Pre-School
49943,Monument Kindercare
49944,Hidden Hills Learning Tree
49945,We Care Day Care Center
49946,Super-Duck Child Care
49947,Starsville Child Care Center
49948,Stanton Pre-School Center
49949,Sunrise Day Care
49950,Ravago Family Child Care
49951,Oaks Early Learning Academy
49952,Super Duck Day Care
49953,Karousel Kids Day Care
49954,Heaven Sent Day Care
49955,Don Brewer Early Lc-Chappell
49956,Chappell Child Care Center-Riverplace
49957,Intercoastal Kids Child Care Center
49958,Johnson Large Family Child Care Center
49959,Jericho School For Chldrn/Autism
49960,La Petite Academy #Fjb7440
49961,All Faith Day Care & Child Services
49962,Dunns Creek Baptist Day Care
49963,Step Ahead Early Learning Center
49964,Burris Family Day Care
49965,Amos' Angels Day Care
49966,Head Start-Hilltop Village
49967,Lane Ave Child Development Center
49968,Avondale Un Methodist Chlds Day Out
49969,Parkwood Kindergarten & Preschool
49970,Higher Ground Child Development Center
49971,See Me Grow Day Care
49972,Isle Of Faith Child Development Center
49973,Progressive Learning Center
49974,Honeybears Day Care
49975,Reddy Episcopal Early Learning Acd
49976,Hidden Treasures Child Care
49977,Super Duck Day Care
49978,Karousel Kids Day Care
49979,Heaven Sent Day Care
49980,Don Brewer Early Lc-Chappell
49981,Chappell Child Care Center-Riverplace
49982,Intercoastal Kids Child Care Center
49983,Johnson Large Family Child Care Center
49984,Jericho School For Chldrn/Autism
49985,La Petite Academy #Fjb7440
49986,All Faith Day Care & Child Services
49987,Dunns Creek Baptist Day Care
49988,Step Ahead Early Learning Center
49989,Burris Family Day Care
49990,Amos' Angels Day Care
49991,Head Start-Hilltop Village
49992,Lane Ave Child Development Center
49993,Avondale Un Methodist Chlds Day Out
49994,Parkwood Kindergarten & Preschool
49995,Higher Ground Child Development Center
49996,See Me Grow Day Care
49997,Isle Of Faith Child Development Center
49998,Progressive Learning Center
49999,Honeybears Day Care
50000,Reddy Episcopal Early Learning Acd
50001,Hidden Treasures Child Care
50002,Wesley Child Development Center
50003,Brown Family Day Care Center
50004,Alpha-Omega Learning Center
50005,Brown Bear Pre-School CHRTN Center
50006,Kiddie Care Day Care Center
50007,Forest Park Head Start
50008,Aunt Barbara's Child Development Center 2
50009,Holy Little Angels Day Care
50010,Norman Nursery
50011,Caring Hands Learning Center
50012,Marietta Play World
50013,R L Wilson Head Start Center
50014,S Jax Presbyterian Pre-School
50015,Highlands Baptist Weekday Minis
50016,Upc Rainbows & Ribbons
50017,Cambridge Prep School Day Care
50018,Children of Our Future Learning Center
50019,Jackson's Day Care Center
50020,Heavenly Angels Child Care
50021,Children Of Liberty
50022,Crown of Glory Day Care
50023,ABC & Numbers Child Care Center
50024,Kids Korner Lc
50025,Kidsville 2000 Inc
50026,Children's Fantasy World Pre-K
50027,Wesley Child Development Center
50028,Brown Family Day Care Center
50029,Alpha-Omega Learning Center
50030,Brown Bear Pre-School CHRTN Center
50031,Kiddie Care Day Care Center
50032,Forest Park Head Start
50033,Aunt Barbara's Child Development Center 2
50034,Holy Little Angels Day Care
50035,Norman Nursery
50036,Caring Hands Learning Center
50037,Marietta Play World
50038,R L Wilson Head Start Center
50039,S Jax Presbyterian Pre-School
50040,Highlands Baptist Weekday Minis
50041,Upc Rainbows & Ribbons
50042,Cambridge Prep School Day Care
50043,Children of Our Future Learning Center
50044,Jackson's Day Care Center
50045,Heavenly Angels Child Care
50046,Children Of Liberty
50047,Crown of Glory Day Care
50048,ABC & Numbers Child Care Center
50049,Kids Korner Lc
50050,Kidsville 2000 Inc
50051,Children's Fantasy World Pre-K
50052,Community Academy Day Care
50053,Linda's Day Care
50054,Williams Child Care Center
50055,New Beginning Day Care Center
50056,Kids Point of View
50057,Kids Point Of View Learning Center Ii
50058,Love-N-Care Day Care Center
50059,Childhood Learning Cetner
50060,Bright Scholars Learning Center
50061,True Hope Developmental Academy
50062,Southside Methodist Pre-Sc
50063,All Faith Daycare Center
50064,Head Start-The Bridge
50065,Community Connections
50066,Kaliedoscope Kids
50067,Kings & Queens Cc & Lc
50068,Chatman's Learning Center
50069,For Hour Child Only DC 8 Learning Center
50070,Renhack's Family Day Care Home
50071,Amazing Kids Learning Center
50072,Center For Creative Learning
50073,Angel Elite Academy
50074,South Point New Dimensions
50075,Angie's Child Care
50076,West Day Care
50077,Community Academy Day Care
50078,Linda's Day Care
50079,Williams Child Care Center
50080,New Beginning Day Care Center
50081,Kids Point of View
50082,Kids Point Of View Learning Center Ii
50083,Love-N-Care Day Care Center
50084,Childhood Learning Cetner
50085,Bright Scholars Learning Center
50086,True Hope Developmental Academy
50087,Southside Methodist Pre-Sc
50088,All Faith Daycare Center
50089,Head Start-The Bridge
50090,Community Connections
50091,Kaliedoscope Kids
50092,Kings & Queens Cc & Lc
50093,Chatman's Learning Center
50094,For Hour Child Only DC 8 Learning Center
50095,Renhack's Family Day Care Home
50096,Amazing Kids Learning Center
50097,Center For Creative Learning
50098,Angel Elite Academy
50099,South Point New Dimensions
50100,Angie's Child Care
50101,West Day Care
50102,Little Winners Preschool
50103,Lighthouse Day Care
50104,Apostolic Shiloh Day Care Center
50105,Victoria's Child Care
50106,Merry Pop-Ins
50107,Chappell Day Care-Fscj-Kent
50108,Mandarin Prep School
50109,St Mark's Ark
50110,D L C Nurse & Learn Inc
50111,Burrell's Child Care Cente
50112,All Saints Early Learning Center
50113,Mandarin Childhood Learning Center
50114,Murray Hill Baptist Child Care
50115,Kindercare Learning Center
50116,Total Learning Center
50117,Lashley's Family Day Care Home
50118,Cinderella Day Care Castle
50119,Hubbard House Child Care Center
50120,Little Pre-School House Ii
50121,Chosen Vessels
50122,All About Kids Day Care Center
50123,Time To Learn
50124,Barnett Large Family Child Care Center
50125,Tutor Time Child Care-Learning Center
50126,Ortega Play School
50127,Little Winners Preschool
50128,Lighthouse Day Care
50129,Apostolic Shiloh Day Care Center
50130,Victoria's Child Care
50131,Merry Pop-Ins
50132,Chappell Day Care-Fscj-Kent
50133,Mandarin Prep School
50134,St Mark's Ark
50135,D L C Nurse & Learn Inc
50136,Burrell's Child Care Cente
50137,All Saints Early Learning Center
50138,Mandarin Childhood Learning Center
50139,Murray Hill Baptist Child Care
50140,Kindercare Learning Center
50141,Total Learning Center
50142,Lashley's Family Day Care Home
50143,Cinderella Day Care Castle
50144,Hubbard House Child Care Center
50145,Little Pre-School House Ii
50146,Chosen Vessels
50147,All About Kids Day Care Center
50148,Time To Learn
50149,Barnett Large Family Child Care Center
50150,Tutor Time Child Care-Learning Center
50151,Ortega Play School
50152,La Petite Academy #7438
50153,Ortega Hills Pre-School
50154,Future Duck Day Care Center #1
50155,St. Peter's Episcopal Pre-School
50156,La Alpha Learning & Dev Center
50157,Exceptional Day Care
50158,Infants & Toddlers Univ Child Care Center
50159,A Little Pre-School House 3
50160,Head Start-Moncrief
50161,Emerald City Learning Center
50162,Once Upon A Child Development Center
50163,It's A Small World #2
50164,University Christian School
50165,Jacksonvlle Urban 8th St Head Start
50166,Gateway Child Development Center
50167,Heaven's Little Angels
50168,Little People Ii
50169,Oak Crest Methodist Child Care Center
50170,Gingerbread House L C Inc
50171,Little Tots Day Care Center
50172,Sensational Kids Learning Academy
50173,Sharing Tree Pre-School
50174,Children's Choice
50175,For Your Child Only Victory La
50176,Learning Tree Pre-School
50177,La Petite Academy #7438
50178,Ortega Hills Pre-School
50179,Future Duck Day Care Center #1
50180,St. Peter's Episcopal Pre-School
50181,La Alpha Learning & Dev Center
50182,Exceptional Day Care
50183,Infants & Toddlers Univ Child Care Center
50184,A Little Pre-School House 3
50185,Head Start-Moncrief
50186,Emerald City Learning Center
50187,Once Upon A Child Development Center
50188,It's A Small World #2
50189,University Christian School
50190,Jacksonvlle Urban 8th St Head Start
50191,Gateway Child Development Center
50192,Heaven's Little Angels
50193,Little People Ii
50194,Oak Crest Methodist Child Care Center
50195,Gingerbread House L C Inc
50196,Little Tots Day Care Center
50197,Sensational Kids Learning Academy
50198,Sharing Tree Pre-School
50199,Children's Choice
50200,For Your Child Only Victory La
50201,Learning Tree Pre-School
50202,Gates of Pearl Day Care
50203,High Praise Day Care
50204,Future Ducks Dc & Kdgd #2
50205,Progressive Learning Center
50206,New Life In Christ Cdc
50207,Stepping Stones Pre-School
50208,Little Tots Day Care #2
50209,Gateway Nursery
50210,Parsons Little Scholars
50211,Ivey Family Day Care
50212,La Petite Academy #137
50213,Punkin Place Child Development
50214,It's A Small World
50215,Harvin Family Day Care
50216,Christ The King Child Care Center
50217,Kiddieville Learning Center
50218,Argyle Christian Preschool And Kindergarten
50219,Juliette's Day Care
50220,Terry Parker Baptist Pre-School
50221,Child Choice Development Center
50222,Momma Bear's Tender Care
50223,Bentley Family Day Care
50224,Happy Acres Ranch
50225,Nakesa's Learning Center
50226,Crandalls Family Day Care
50227,Gates of Pearl Day Care
50228,High Praise Day Care
50229,Future Ducks Dc & Kdgd #2
50230,Progressive Learning Center
50231,New Life In Christ Cdc
50232,Stepping Stones Pre-School
50233,Little Tots Day Care #2
50234,Gateway Nursery
50235,Parsons Little Scholars
50236,Ivey Family Day Care
50237,La Petite Academy #137
50238,Punkin Place Child Development
50239,It's A Small World
50240,Harvin Family Day Care
50241,Christ The King Child Care Center
50242,Kiddieville Learning Center
50243,Argyle Christian Preschool And Kindergarten
50244,Juliette's Day Care
50245,Terry Parker Baptist Pre-School
50246,Child Choice Development Center
50247,Momma Bear's Tender Care
50248,Bentley Family Day Care
50249,Happy Acres Ranch
50250,Nakesa's Learning Center
50251,Crandalls Family Day Care
50252,Aunt Barbara's Child Development Center
50253,Brantley Family Day Care
50254,Jessie Ball Dupont Ymca Child Care Center
50255,Threats Family Child Care
50256,Wallace Enterprises Child Care Center
50257,Kids Korner II
50258,Children's Lighthouse Dc
50259,Strive For Excellence Lc
50260,Parkwood Bapt Early Educ Center
50261,Normandy Vlg United Methodist Cc
50262,La Petite Academy #7442
50263,Hogan Lane Day Care Center
50264,Normandy Village Learning Center
50265,Butts Home Day Care
50266,Merrill Road Baptist Child Care
50267,ABC Learning Center
50268,Kerrington Academy & Child Development Center
50269,Chappell School
50270,Baymeadows Kindercare
50271,Tutor Time Child Care Center
50272,Southwind Villas Head Start Center
50273,Robin's Day Care
50274,Circle's of Learning Center
50275,Bright Horizons Cdc
50276,Cindy's Day Nursery Child Care
50277,Aunt Barbara's Child Development Center
50278,Brantley Family Day Care
50279,Jessie Ball Dupont Ymca Child Care Center
50280,Threats Family Child Care
50281,Wallace Enterprises Child Care Center
50282,Kids Korner II
50283,Children's Lighthouse Dc
50284,Strive For Excellence Lc
50285,Parkwood Bapt Early Educ Center
50286,Normandy Vlg United Methodist Cc
50287,La Petite Academy #7442
50288,Hogan Lane Day Care Center
50289,Normandy Village Learning Center
50290,Butts Home Day Care
50291,Merrill Road Baptist Child Care
50292,ABC Learning Center
50293,Kerrington Academy & Child Development Center
50294,Chappell School
50295,Baymeadows Kindercare
50296,Tutor Time Child Care Center
50297,Southwind Villas Head Start Center
50298,Robin's Day Care
50299,Circle's of Learning Center
50300,Bright Horizons Cdc
50301,Cindy's Day Nursery Child Care
50302,Waters Family Day Care
50303,Building Blocks Child Development Center
50304,Seashell Day Care
50305,Rawls Kiddie Kastle #1
50306,A To Z Child Development Center
50307,First Baptist Pre School
50308,Deermeadows Pre-School
50309,Hope Chapel Christian Assembly
50310,Childtime Children's Center #317
50311,West Jacksonville Elementary School
50312,Richard L. Brown Elementary School
50313,Smart Pope Livingston Elementary School
50314,Julington Creek Kindercare
50315,Fruit Cove Baptist Weekday Ps
50316,Berean Ambassadors for Christ
50317,Lighthouse Christian School-Arlington
50318,Old Plank Christian Academy
50319,Pablo Academy Private School In
50320,Safe Harbor Academy
50321,The Potter's House Christian Academy
50322,Ivy League Academy-Oak Leaf
50323,Lone Star High School
50324,Duval Virtual Academy Franchise
50325,Depaul School of NE Florida - Gudal Campus
50326,Heart To Heart Christian Academy and Childc
50327,Waters Family Day Care
50328,Building Blocks Child Development Center
50329,Seashell Day Care
50330,Rawls Kiddie Kastle #1
50331,A To Z Child Development Center
50332,First Baptist Pre School
50333,Deermeadows Pre-School
50334,Hope Chapel Christian Assembly
50335,Childtime Children's Center #317
50336,West Jacksonville Elementary School
50337,Richard L. Brown Elementary School
50338,Smart Pope Livingston Elementary School
50339,Julington Creek Kindercare
50340,Fruit Cove Baptist Weekday Ps
50341,Berean Ambassadors for Christ
50342,Lighthouse Christian School-Arlington
50343,Old Plank Christian Academy
50344,Pablo Academy Private School In
50345,Safe Harbor Academy
50346,The Potter's House Christian Academy
50347,Ivy League Academy-Oak Leaf
50348,Lone Star High School
50349,Duval Virtual Academy Franchise
50350,Depaul School of NE Florida - Gudal Campus
50351,Heart To Heart Christian Academy and Childc
50352,First Baptist Academy of Jacksonville
50353,Father's Harbor Academy
50354,For Your Child Only Christian Academy
50355,The Beverly Institute
50356,Mount Lebanon Christian Academy
50357,Tempette Learning Academy
50358,Zarephath Academy
50359,Hope Christian Academy
50360,Lighthouse Christian School-Northside
50361,Lighthouse Christian School Dinsmore
50362,Lighthouse Christian School-Mandarin
50363,Lighthouse Christian School Westside
50364,Shepherd of the Woods Lutheran School -2
50365,Wisdom Learning Academy
50366,Young Hearts Child Development Pre-K 2
50367,Jacksonville School for Autism
50368,Arlington Kindergarten of Jax
50369,North Florida Educational Institute
50370,Good Shepherd Christian Academy
50371,Millennial Christian School
50372,Atcom Christian School
50373,Temple Christian Academy
50374,Foundation School
50375,Primrose School at St. John's Forest
50376,Chappell FSCJ Downtown
50377,First Baptist Academy of Jacksonville
50378,Father's Harbor Academy
50379,For Your Child Only Christian Academy
50380,The Beverly Institute
50381,Mount Lebanon Christian Academy
50382,Tempette Learning Academy
50383,Zarephath Academy
50384,Hope Christian Academy
50385,Lighthouse Christian School-Northside
50386,Lighthouse Christian School Dinsmore
50387,Lighthouse Christian School-Mandarin
50388,Lighthouse Christian School Westside
50389,Shepherd of the Woods Lutheran School -2
50390,Wisdom Learning Academy
50391,Young Hearts Child Development Pre-K 2
50392,Jacksonville School for Autism
50393,Arlington Kindergarten of Jax
50394,North Florida Educational Institute
50395,Good Shepherd Christian Academy
50396,Millennial Christian School
50397,Atcom Christian School
50398,Temple Christian Academy
50399,Foundation School
50400,Primrose School at St. John's Forest
50401,Chappell FSCJ Downtown
50402,Duval Virtual Instruction (Course Offerings)
50403,Duval Mycroschool Of Integrated Academics And Technologies
50404,Ivy League Academy at San Pablo
50405,CBE Learning Academy
50406,Heart To Heart Christian Academy & Childcare
50407,Jacksonville School For Autism
50408,Millennial Christian School
50409,North Florida Educational Institute
50410,Temple Christian Academy
50411,The Beverly Institute
50412,Little Star Center
50413,Reaching Milestones Learning Center
50414,The Day School
50415,Creative Minds Academy of Durbin
50416,Creative Minds Academy of Deerwood
50417,Kids Park Day Care
50418,Cornerstone Schools (Will open: Fall 2014)
50419,St Matthews Elementary School
50420,Thomas Child Care Center
50421,Evans Child Care Center
50422,Casper Child Care Center
50423,Garden Of Visions & Dreams Lc
50424,D C Academy Child Care Center
50425,Citi Family Child Care Center-Jacksonville
50426,Blueprints For Life Child Care Center
50427,Duval Virtual Instruction (Course Offerings)
50428,Duval Mycroschool Of Integrated Academics And Technologies
50429,Ivy League Academy at San Pablo
50430,CBE Learning Academy
50431,Heart To Heart Christian Academy & Childcare
50432,Jacksonville School For Autism
50433,Millennial Christian School
50434,North Florida Educational Institute
50435,Temple Christian Academy
50436,The Beverly Institute
50437,Little Star Center
50438,Reaching Milestones Learning Center
50439,The Day School
50440,Creative Minds Academy of Durbin
50441,Creative Minds Academy of Deerwood
50442,Kids Park Day Care
50443,Cornerstone Schools (Will open: Fall 2014)
50444,St Matthews Elementary School
50445,Thomas Child Care Center
50446,Evans Child Care Center
50447,Casper Child Care Center
50448,Garden Of Visions & Dreams Lc
50449,D C Academy Child Care Center
50450,Citi Family Child Care Center-Jacksonville
50451,Blueprints For Life Child Care Center
50452,Gant Kidz Bizzness Llc
50453,Browner Child Care Center
50454,Hodges Family Child Care Home
50455,Victory Pre-School
50456,Tutor Time Child Care Learning Center
50457,Tutor Time Child Care Learning Center
50458,Tomorrow's Stars Learning Center
50459,Heir Christian Academy
50460,Blue Prints Academy
50461,On The Right Track Cdc
50462,Northside Community Child Care Center
50463,My First Step Learning Center
50464,Tyler Kennedy Learning Center
50465,Little Temples Child Care Center Ii
50466,Kids United Child Care & Lc
50467,It's Your World Learning Center
50468,Happy Feet Learning Center
50469,Genesis Learning Center
50470,Exclusively Infants Dc
50471,Community Connections Dc-Jax
50472,Children's Fantasy World Ps
50473,Chatman's Day Care & Lc
50474,Aladdan Christian Learning Center
50475,Burrells Camp Child Care Center- Chippewa
50476,Kinder Care Learning Center #269
50477,Gant Kidz Bizzness Llc
50478,Browner Child Care Center
50479,Hodges Family Child Care Home
50480,Victory Pre-School
50481,Tutor Time Child Care Learning Center
50482,Tutor Time Child Care Learning Center
50483,Tomorrow's Stars Learning Center
50484,Heir Christian Academy
50485,Blue Prints Academy
50486,On The Right Track Cdc
50487,Northside Community Child Care Center
50488,My First Step Learning Center
50489,Tyler Kennedy Learning Center
50490,Little Temples Child Care Center Ii
50491,Kids United Child Care & Lc
50492,It's Your World Learning Center
50493,Happy Feet Learning Center
50494,Genesis Learning Center
50495,Exclusively Infants Dc
50496,Community Connections Dc-Jax
50497,Children's Fantasy World Ps
50498,Chatman's Day Care & Lc
50499,Aladdan Christian Learning Center
50500,Burrells Camp Child Care Center- Chippewa
50501,Kinder Care Learning Center #269
50502,Kidsmart Christian Learning Center
50503,Chappell Cdc
50504,Sunshine House
50505,Old Stanton Head Start
50506,Creative World Learning Center
