,School,Score,Rating,Address
18505,Lincoln Heights Academy,Below average,2/10,"1900 Newcastle Street, Charlotte, NC, 28216"
18506,"Olympic - Technology, Entrepreneurship & Advanced Manufacturing",Below average,2/10,"4301 Sandy Porter Road, Charlotte, NC, 28273"
18507,Olympic - International Business,Below average,2/10,"4301 Sandy Porter Road, Charlotte, NC, 28273"
18508,Anointed Little Ones Day Care,Currently unrated,2/10,"4135 Bryan Furr Drive, Charlotte, NC, 28216"
18509,Anointed Lil Hands Day Care,Currently unrated,2/10,"9609 Rothman Lane, Charlotte, NC, 28215"
18510,Annie Thomas Day Care,Currently unrated,2/10,"523 Derrydowne Drive, Charlotte, NC, 28213"
18511,Anita's Child Care Center,Currently unrated,2/10,"2229 Highlawn Drive, Charlotte, NC, 28212"
18512,Angels Of Love Child Care Center,Currently unrated,2/10,"8402 Mission Hills Road, Charlotte, NC, 28227"
18513,Anberlina Child Care Center,Currently unrated,2/10,"3628 Greenloch Court, Charlotte, NC, 28269"
18514,Almost Child Care Center,Currently unrated,2/10,"6242 Green Vista Court, Charlotte, NC, 28212"
18515,All In One Academy,Currently unrated,2/10,"6335 Goldenfield Drive, Charlotte, NC, 28269"
18516,All God's Children S/A Pgrm,Currently unrated,2/10,"407 Norris Avenue, Charlotte, NC, 28206"
18517,Achievers & Believers Dcc,Currently unrated,2/10,"212 Echodale Drive, Charlotte, NC, 28217"
18518,Absolute Child Care Center,Currently unrated,2/10,"6429 Hoover Circle, Charlotte, NC, 28214"
18519,A Mother's Touch Child Care Center,Currently unrated,2/10,"5200 Rockwood Road, Charlotte, NC, 28216"
18520,A Just Like Day Care,Currently unrated,2/10,"7007 Pawtuckett Road, Charlotte, NC, 28214"
18521,James Martin Middle,Below average,2/10,"7800 IBM Drive, Charlotte, NC, 28262"
18522,Zebulon B Vance High,Below average,2/10,"7600 IBM Drive, Charlotte, NC, 28262"
18523,John Motley Morehead,Below average,2/10,"7810 Neal Road, Charlotte, NC, 28262"
18524,Joseph W Grier Academy,Below average,2/10,"8330 Grier Road, Charlotte, NC, 28215"
18525,Garinger High School,Below average,2/10,"1100 Eastway Drive, Charlotte, NC, 28205"
18526,Commonwealth High,Below average,2/10,"5112 Central Avenue, Charlotte, NC, 28205"
18527,Renaissance West Prek-8,Below average,2/10,"3241 New Renaissance Way, Charlotte, NC, 28208"
18528,Allenbrook Elementary,Below average,2/10,"1430 Allenbrook Drive, Charlotte, NC, 28208"
18529,Harding University High,Below average,2/10,"2001 Alleghany Street, Charlotte, NC, 28208"
18530,Lincoln Heights Academy,Below average,2/10,"1900 Newcastle Street, Charlotte, NC, 28216"
18531,"Olympic - Technology, Entrepreneurship & Advanced Manufacturing",Below average,2/10,"4301 Sandy Porter Road, Charlotte, NC, 28273"
18532,Olympic - International Business,Below average,2/10,"4301 Sandy Porter Road, Charlotte, NC, 28273"
18533,Anointed Little Ones Day Care,Currently unrated,2/10,"4135 Bryan Furr Drive, Charlotte, NC, 28216"
18534,Anointed Lil Hands Day Care,Currently unrated,2/10,"9609 Rothman Lane, Charlotte, NC, 28215"
18535,Annie Thomas Day Care,Currently unrated,2/10,"523 Derrydowne Drive, Charlotte, NC, 28213"
18536,Anita's Child Care Center,Currently unrated,2/10,"2229 Highlawn Drive, Charlotte, NC, 28212"
18537,Angels Of Love Child Care Center,Currently unrated,2/10,"8402 Mission Hills Road, Charlotte, NC, 28227"
18538,Anberlina Child Care Center,Currently unrated,2/10,"3628 Greenloch Court, Charlotte, NC, 28269"
18539,Almost Child Care Center,Currently unrated,2/10,"6242 Green Vista Court, Charlotte, NC, 28212"
18540,All In One Academy,Currently unrated,2/10,"6335 Goldenfield Drive, Charlotte, NC, 28269"
18541,All God's Children S/A Pgrm,Currently unrated,2/10,"407 Norris Avenue, Charlotte, NC, 28206"
18542,Achievers & Believers Dcc,Currently unrated,2/10,"212 Echodale Drive, Charlotte, NC, 28217"
18543,Absolute Child Care Center,Currently unrated,2/10,"6429 Hoover Circle, Charlotte, NC, 28214"
18544,A Mother's Touch Child Care Center,Currently unrated,2/10,"5200 Rockwood Road, Charlotte, NC, 28216"
18545,A Just Like Day Care,Currently unrated,2/10,"7007 Pawtuckett Road, Charlotte, NC, 28214"
18546,A & J Day Care,Currently unrated,2/10,"4701 Belle Plaine Drive, Charlotte, NC, 28215"
18547,Victory Kidz Child Care Center,Currently unrated,2/10,"3449 Reid Avenue, Charlotte, NC, 28208"
18548,Tutor Time Child Care Center-Steele Creek,Currently unrated,2/10,"21333 Haggerty Ste 300, Charlotte, NC, 28275"
18549,Wee Care Day Care Home,Currently unrated,2/10,"824 Interurban Avenue, Charlotte, NC, 28208"
18550,Kiddie Club Day Care,Currently unrated,2/10,"3701 Teaberry Court, Charlotte, NC, 28227"
18551,Smarty Pants Learning Center,Currently unrated,2/10,"5816 Wilora Lake Road, Charlotte, NC, 28212"
18552,Smith Asep Child Care Center,Currently unrated,2/10,"428 West Boulevard, Charlotte, NC, 28203"
18553,Happy Days Bilingual Child Care Center,Currently unrated,2/10,"5610 Wallace Cabin Drive, Charlotte, NC, 28212"
18554,Ladybugg's Little Learners Center,Currently unrated,2/10,"Po Box 668234, Charlotte, NC, 28266"
18555,Leeper's Learning Garden Dc,Currently unrated,2/10,"7829 Buddy Holly Road, Charlotte, NC, 28216"
18556,Joy All The Time Child Care Center,Currently unrated,2/10,"577 Dannyn Grove Court, Charlotte, NC, 28214"
18557,Hooper Day Care,Currently unrated,2/10,"10947 Elm Bend Drive, Charlotte, NC, 28273"
18558,Happy Hearts Ii Day Care,Currently unrated,1/10,"8615 Oak Drive, Charlotte, NC, 28269"
18559,Innie Minnie Minors Day Care,Currently unrated,1/10,"8231 Thornhaven Court, Charlotte, NC, 28212"
18560,Kiddie Academy-Charlotte-Blakeney,Currently unrated,1/10,"9310 Blakeney Center Drive, Charlotte, NC, 28277"
18561,Cdm Child Development Center,Currently unrated,1/10,"11815 Erwin Ridge Avenue, Charlotte, NC, 28213"
18562,Charlotte Child Development Center,Currently unrated,1/10,"1235 East Boulevard #243, Charlotte, NC, 28203"
18563,Buttons & Bananas Day Care,Currently unrated,1/10,"12018 Bending Branch Road, Charlotte, NC, 28227"
18564,Christian Playmates Child Care Center,Currently unrated,1/10,"4319 Ivanhoe Place, Charlotte, NC, 28205"
18565,Bailey S/A Child Care Center,Currently unrated,1/10,"428 West Boulevard, Charlotte, NC, 28203"
18566,Berryhill Child Care Center,Currently unrated,1/10,"428 West Boulevard, Charlotte, NC, 28203"
18567,A New Generation Day Care,Currently unrated,1/10,"12026 Sherman Drive, Charlotte, NC, 28273"
18568,Amazing Home Child Care Center,Currently unrated,1/10,"4128 Blenhein Road, Charlotte, NC, 28208"
18569,Angel House Learning Center,Currently unrated,1/10,"7012 Hidden Creek Drive, Charlotte, NC, 28214"
18570,Paradise Bound Child Care Center,Currently unrated,1/10,"439 Walnut Avenue, Charlotte, NC, 28208"
18571,A & J Day Care,Currently unrated,1/10,"4701 Belle Plaine Drive, Charlotte, NC, 28215"
18572,Victory Kidz Child Care Center,Currently unrated,1/10,"3449 Reid Avenue, Charlotte, NC, 28208"
18573,Tutor Time Child Care Center-Steele Creek,Currently unrated,1/10,"21333 Haggerty Ste 300, Charlotte, NC, 28275"
18574,Wee Care Day Care Home,Currently unrated,1/10,"824 Interurban Avenue, Charlotte, NC, 28208"
18575,Kiddie Club Day Care,Currently unrated,1/10,"3701 Teaberry Court, Charlotte, NC, 28227"
18576,Smarty Pants Learning Center,Currently unrated,1/10,"5816 Wilora Lake Road, Charlotte, NC, 28212"
18577,Smith Asep Child Care Center,Currently unrated,1/10,"428 West Boulevard, Charlotte, NC, 28203"
18578,Happy Days Bilingual Child Care Center,Currently unrated,2/10,"5610 Wallace Cabin Drive, Charlotte, NC, 28212"
18579,Ladybugg's Little Learners Center,Currently unrated,2/10,"Po Box 668234, Charlotte, NC, 28266"
18580,Leeper's Learning Garden Dc,Currently unrated,2/10,"7829 Buddy Holly Road, Charlotte, NC, 28216"
18581,Joy All The Time Child Care Center,Currently unrated,2/10,"577 Dannyn Grove Court, Charlotte, NC, 28214"
18582,Hooper Day Care,Currently unrated,1/10,"10947 Elm Bend Drive, Charlotte, NC, 28273"
18583,Happy Hearts Ii Day Care,Currently unrated,1/10,"8615 Oak Drive, Charlotte, NC, 28269"
18584,Innie Minnie Minors Day Care,Currently unrated,1/10,"8231 Thornhaven Court, Charlotte, NC, 28212"
18585,Kiddie Academy-Charlotte-Blakeney,Currently unrated,1/10,"9310 Blakeney Center Drive, Charlotte, NC, 28277"
18586,Cdm Child Development Center,Currently unrated,1/10,"11815 Erwin Ridge Avenue, Charlotte, NC, 28213"
18587,Charlotte Child Development Center,Currently unrated,1/10,"1235 East Boulevard #243, Charlotte, NC, 28203"
18588,Buttons & Bananas Day Care,Currently unrated,1/10,"12018 Bending Branch Road, Charlotte, NC, 28227"
18589,Christian Playmates Child Care Center,Currently unrated,1/10,"4319 Ivanhoe Place, Charlotte, NC, 28205"
18590,Bailey S/A Child Care Center,Currently unrated,1/10,"428 West Boulevard, Charlotte, NC, 28203"
18591,Berryhill Child Care Center,Currently unrated,1/10,"428 West Boulevard, Charlotte, NC, 28203"
18592,A New Generation Day Care,Currently unrated,1/10,"12026 Sherman Drive, Charlotte, NC, 28273"
18593,Amazing Home Child Care Center,Currently unrated,1/10,"4128 Blenhein Road, Charlotte, NC, 28208"
18594,Angel House Learning Center,Currently unrated,1/10,"7012 Hidden Creek Drive, Charlotte, NC, 28214"
18595,Paradise Bound Child Care Center,Currently unrated,1/10,"439 Walnut Avenue, Charlotte, NC, 28208"
18596,Miracles Day Care,Currently unrated,1/10,"6635 Iron Brigade Lane, Charlotte, NC, 28269"
18597,Miss Pauline's Day Care,Currently unrated,1/10,"4407 Dalmoor Drive, Charlotte, NC, 28212"
18598,Nothing But Love Day Care,Currently unrated,1/10,"12827 Sandpines Lane, Charlotte, NC, 28262"
18599,Mini-Miracles Child Care Center,Currently unrated,1/10,"13644 Coram Place, Charlotte, NC, 28213"
18600,Perfect Angels Learning Center,Currently unrated,1/10,"3629 Daisyfield Drive, Charlotte, NC, 28269"
18601,Mercedes Day Care,Currently unrated,1/10,"1619 Katherine Kiker Road, Charlotte, NC, 28213"
18602,Little Cubs Day Care,Currently unrated,9/10,"11504 Ardrey Crest Drive, Charlotte, NC, 28277"
18603,Ms China's Wonderland Child Care Center,Currently unrated,9/10,"6610 Mallard Park Drive, Charlotte, NC, 28269"
18604,Lullaby Lettie Learning Center,Currently unrated,9/10,"1617 Stoney Creek Lane, Charlotte, NC, 28262"
18605,Lone Tree Academy,Currently unrated,9/10,"4729 Lone Tree Court, Charlotte, NC, 28269"
18606,Bethune Mays Classical Academy,Currently unrated,8/10,"2500 East Independence Boulevard, Charlotte, NC, 28205"
18607,Brookstone Schools,Currently unrated,8/10,"301 S Davidson St, Charlotte, NC, 28202"
18608,Charlotte Jewish Day School,Currently unrated,8/10,"5007 Providence Road, Charlotte, NC, 28226"
18609,Dream Children School,Currently unrated,8/10,"2915 Wild Duck Court, Charlotte, NC, 28262"
18610,Kids R Kids School,Currently unrated,8/10,"6250 Blakeney Park Drive, Charlotte, NC, 28277"
18611,King's Academy,Currently unrated,8/10,"2022 West Sugar Creek Road, Charlotte, NC, 28262"
18612,Knowledge Is Power Early Learning Prog,Currently unrated,8/10,"2312 Orton Street, Charlotte, NC, 28208"
18613,Male Leadership Academy Of Charlotte,Currently unrated,8/10,"5901 Nations Ford Road, Charlotte, NC, 28217"
18614,Oasis Performing Arts School,Currently unrated,8/10,"512 West Boulevard, Charlotte, NC, 28203"
18615,One7 Academy,Currently unrated,8/10,"2223 Eastway Drive, Charlotte, NC, 28205"
18616,Queen City Preparatory Academy,Currently unrated,7/10,"5027 Idlewild Road North, Charlotte, NC, 28227"
18617,Renaissance Christian School,Currently unrated,7/10,"7209 East W T Harris Boulevard, Charlotte, NC, 28227"
18618,Talented Tenth Boys Academy Of Nc,Currently unrated,7/10,"1500 Rocky River Road West, Charlotte, NC, 28213"
18619,Teaching Achieving Students Academy,Currently unrated,7/10,"7829 Old Concord Road, Charlotte, NC, 28213"
18620,Shining Stars Academy,Currently unrated,7/10,"Po Box 39056, Charlotte, NC, 28278"
18621,Miracles Day Care,Currently unrated,7/10,"6635 Iron Brigade Lane, Charlotte, NC, 28269"
18622,Miss Pauline's Day Care,Currently unrated,7/10,"4407 Dalmoor Drive, Charlotte, NC, 28212"
18623,Nothing But Love Day Care,Currently unrated,7/10,"12827 Sandpines Lane, Charlotte, NC, 28262"
18624,Mini-Miracles Child Care Center,Currently unrated,7/10,"13644 Coram Place, Charlotte, NC, 28213"
18625,Perfect Angels Learning Center,Currently unrated,7/10,"3629 Daisyfield Drive, Charlotte, NC, 28269"
18626,Mercedes Day Care,Currently unrated,6/10,"1619 Katherine Kiker Road, Charlotte, NC, 28213"
18627,Little Cubs Day Care,Currently unrated,9/10,"11504 Ardrey Crest Drive, Charlotte, NC, 28277"
18628,Ms China's Wonderland Child Care Center,Currently unrated,9/10,"6610 Mallard Park Drive, Charlotte, NC, 28269"
18629,Lullaby Lettie Learning Center,Currently unrated,9/10,"1617 Stoney Creek Lane, Charlotte, NC, 28262"
18630,Lone Tree Academy,Currently unrated,9/10,"4729 Lone Tree Court, Charlotte, NC, 28269"
18631,Bethune Mays Classical Academy,Currently unrated,8/10,"2500 East Independence Boulevard, Charlotte, NC, 28205"
18632,Brookstone Schools,Currently unrated,8/10,"301 S Davidson St, Charlotte, NC, 28202"
18633,Charlotte Jewish Day School,Currently unrated,8/10,"5007 Providence Road, Charlotte, NC, 28226"
18634,Dream Children School,Currently unrated,8/10,"2915 Wild Duck Court, Charlotte, NC, 28262"
18635,Kids R Kids School,Currently unrated,8/10,"6250 Blakeney Park Drive, Charlotte, NC, 28277"
18636,King's Academy,Currently unrated,8/10,"2022 West Sugar Creek Road, Charlotte, NC, 28262"
18637,Knowledge Is Power Early Learning Prog,Currently unrated,8/10,"2312 Orton Street, Charlotte, NC, 28208"
18638,Male Leadership Academy Of Charlotte,Currently unrated,8/10,"5901 Nations Ford Road, Charlotte, NC, 28217"
18639,Oasis Performing Arts School,Currently unrated,8/10,"512 West Boulevard, Charlotte, NC, 28203"
18640,One7 Academy,Currently unrated,8/10,"2223 Eastway Drive, Charlotte, NC, 28205"
18641,Queen City Preparatory Academy,Currently unrated,7/10,"5027 Idlewild Road North, Charlotte, NC, 28227"
18642,Renaissance Christian School,Currently unrated,7/10,"7209 East W T Harris Boulevard, Charlotte, NC, 28227"
18643,Talented Tenth Boys Academy Of Nc,Currently unrated,7/10,"1500 Rocky River Road West, Charlotte, NC, 28213"
18644,Teaching Achieving Students Academy,Currently unrated,7/10,"7829 Old Concord Road, Charlotte, NC, 28213"
18645,Shining Stars Academy,Currently unrated,7/10,"Po Box 39056, Charlotte, NC, 28278"
18646,The Einstein School of Charlotte,Currently unrated,7/10,"3307 Rea Road, Charlotte, NC, 28226"
18647,Stewart Creek High,Currently unrated,7/10,"2701 Freedom Drive, Charlotte, NC, 28208"
18648,The Goddard School - Charlotte (Mallard Creek),Currently unrated,7/10,"2545 Galloway Road, Charlotte, NC, 28262"
18649,Unity Classical Charter,Currently unrated,7/10,"701 Scaleybark Road, Charlotte, NC, 28209"
18650,Educators Early College @ Uncc,Currently unrated,7/10,"9201 University City Boulevard, Charlotte, NC, 28223"
18651,Turning Point Academy,Currently unrated,6/10,"2400 Carmine Street, Charlotte, NC, 28206"
18652,Fusion Academy Charlotte,Currently unrated,6/10,"3540 Toringdon Way Suite 100, Charlotte, NC, 28277"
18653,Billingsville Elementary,Currently unrated,6/10,"124 Skyland Avenue, Charlotte, NC, 28205"
18654,Metro School,Currently unrated,6/10,"405 South Davidson Street, Charlotte, NC, 28202"
18655,Sedgefield Elementary,Currently unrated,6/10,"715 Hartford Avenue, Charlotte, NC, 28209"
18656,Community Charter School,Currently unrated,6/10,"510 South Torrence Street, Charlotte, NC, 28204"
18657,St. Patrick Catholic School,Currently unrated,6/10,"1125 Buchanan Street, Charlotte, NC, 28203"
18658,St. Gabriel Catholic School,Currently unrated,6/10,"3028 Providence Road, Charlotte, NC, 28211"
18659,Our Lady Of Assumption Cath School,Currently unrated,6/10,"4225 Shamrock Drive, Charlotte, NC, 28215"
18660,Charlotte Catholic High School,Currently unrated,6/10,"7702 Pineville-Matthews Road, Charlotte, NC, 28226"
18661,Providence Day School,Currently unrated,6/10,"5800 Sardis Road, Charlotte, NC, 28270"
18662,Charlotte Latin School,Currently unrated,6/10,"9502 Providence Road, Charlotte, NC, 28277"
18663,Charlotte Christian School,Currently unrated,6/10,"7301 Sardis Road, Charlotte, NC, 28270"
18664,Charlotte Country Day School,Currently unrated,6/10,"1440 Carmel Road, Charlotte, NC, 28226"
18665,Charlotte United Christian Academy,Currently unrated,6/10,"7640 Wallace Road, Charlotte, NC, 28212"
18666,Adventist Christian Academy,Currently unrated,6/10,"4601 Emory Lane, Charlotte, NC, 28211"
18667,Berean Junior Academy,Currently unrated,5/10,"3748 Beatties Ford Road, Charlotte, NC, 28216"
18668,Alexander Children's Center,Currently unrated,5/10,"6220 Thermal Road, Charlotte, NC, 28211"
18669,The John Crosland School,Currently unrated,5/10,"5146 Parkway Plaza Boulevard, Charlotte, NC, 28217"
18670,Fletcher School,Currently unrated,5/10,"8500 Sardis Road, Charlotte, NC, 28270"
18671,The Einstein School of Charlotte,Currently unrated,5/10,"3307 Rea Road, Charlotte, NC, 28226"
18672,Stewart Creek High,Currently unrated,5/10,"2701 Freedom Drive, Charlotte, NC, 28208"
18673,The Goddard School - Charlotte (Mallard Creek),Currently unrated,5/10,"2545 Galloway Road, Charlotte, NC, 28262"
18674,Unity Classical Charter,Currently unrated,5/10,"701 Scaleybark Road, Charlotte, NC, 28209"
18675,Educators Early College @ Uncc,Currently unrated,5/10,"9201 University City Boulevard, Charlotte, NC, 28223"
18676,Turning Point Academy,Currently unrated,5/10,"2400 Carmine Street, Charlotte, NC, 28206"
18677,Fusion Academy Charlotte,Currently unrated,6/10,"3540 Toringdon Way Suite 100, Charlotte, NC, 28277"
18678,Billingsville Elementary,Currently unrated,6/10,"124 Skyland Avenue, Charlotte, NC, 28205"
18679,Metro School,Currently unrated,6/10,"405 South Davidson Street, Charlotte, NC, 28202"
18680,Sedgefield Elementary,Currently unrated,6/10,"715 Hartford Avenue, Charlotte, NC, 28209"
18681,Community Charter School,Currently unrated,6/10,"510 South Torrence Street, Charlotte, NC, 28204"
18682,St. Patrick Catholic School,Currently unrated,6/10,"1125 Buchanan Street, Charlotte, NC, 28203"
18683,St. Gabriel Catholic School,Currently unrated,6/10,"3028 Providence Road, Charlotte, NC, 28211"
18684,Our Lady Of Assumption Cath School,Currently unrated,6/10,"4225 Shamrock Drive, Charlotte, NC, 28215"
18685,Charlotte Catholic High School,Currently unrated,6/10,"7702 Pineville-Matthews Road, Charlotte, NC, 28226"
18686,Providence Day School,Currently unrated,6/10,"5800 Sardis Road, Charlotte, NC, 28270"
18687,Charlotte Latin School,Currently unrated,6/10,"9502 Providence Road, Charlotte, NC, 28277"
18688,Charlotte Christian School,Currently unrated,6/10,"7301 Sardis Road, Charlotte, NC, 28270"
18689,Charlotte Country Day School,Currently unrated,6/10,"1440 Carmel Road, Charlotte, NC, 28226"
18690,Charlotte United Christian Academy,Currently unrated,6/10,"7640 Wallace Road, Charlotte, NC, 28212"
18691,Adventist Christian Academy,Currently unrated,6/10,"4601 Emory Lane, Charlotte, NC, 28211"
18692,Berean Junior Academy,Currently unrated,5/10,"3748 Beatties Ford Road, Charlotte, NC, 28216"
18693,Alexander Children's Center,Currently unrated,5/10,"6220 Thermal Road, Charlotte, NC, 28211"
18694,The John Crosland School,Currently unrated,5/10,"5146 Parkway Plaza Boulevard, Charlotte, NC, 28217"
18695,Fletcher School,Currently unrated,5/10,"8500 Sardis Road, Charlotte, NC, 28270"
18696,Omni Montessori School,Currently unrated,5/10,"9536 Blakeney Heath Road, Charlotte, NC, 28277"
18697,United Faith Christian Academy,Currently unrated,5/10,"8617 Providence Road, Charlotte, NC, 28277"
18698,Victory Christian Center School,Currently unrated,5/10,"1501 Carrier Drive, Charlotte, NC, 28216"
18699,St. Matthew Catholic School,Currently unrated,5/10,"11525 Elm Lane, Charlotte, NC, 28277"
18700,Brisbane Academy,Currently unrated,5/10,"5901 Statesville Road, Charlotte, NC, 28269"
18701,Paw Creek Christian Academy,Currently unrated,5/10,"5110 Tuckaseegee Road, Charlotte, NC, 28208"
18702,Evelyn Mack Academy,Currently unrated,5/10,"6850 Monroe Road, Charlotte, NC, 28212"
18703,Hickory Grove Christian School,Currently unrated,4/10,"7200 E W T Harris Blvd, Charlotte, NC, 28215"
18704,Holy Trinity Catholic Middle School,Currently unrated,4/10,"3100 Park Road, Charlotte, NC, 28209"
18705,Charlotte Preparatory School,Currently unrated,4/10,"212 Boyce Road, Charlotte, NC, 28211"
18706,Countryside Montessori School,Currently unrated,3/10,"9026 Mallard Creek Rd, Charlotte, NC, 28262"
18707,St. Ann Catholic School,Currently unrated,3/10,"600 Hillside Avenue, Charlotte, NC, 28209"
18708,Charlotte Islamic Academy,Currently unrated,3/10,"4301 Shamrock Drive, Charlotte, NC, 28215"
18709,Manus Academy,Currently unrated,2/10,"6203 Carmel Road, Charlotte, NC, 28226"
18710,Trinity Christian Preparatory School,Currently unrated,1/10,"7516 East Independence Blvd, Charlotte, NC, 28227"
18711,Metrolina Regional Scholars Academy,Currently unrated,5/10,"5225 - Seventy seven Center Dr, Charlotte NC 28217, Charlotte, NC, 28217"
18712,Pathway Pre-School Center,Currently unrated,4/10,"1131 Eastway Drive, Charlotte, NC, 28205"
18713,Christ Church Kindergarten,Currently unrated,4/10,"1412 Providence Road, Charlotte, NC, 28207"
18714,Back Creek Christian Academy,Currently unrated,4/10,"1827 Back Creek Church Road, Charlotte, NC, 28213"
18715,Anami Montessori School,Currently unrated,3/10,"2901 Archdale Drive, Charlotte, NC, 28210"
18716,Charlotte Montessori School,Currently unrated,3/10,"219 East Boulevard, Charlotte, NC, 28203"
18717,Chesterbrook Academy Mallard Creek,Currently unrated,3/10,"8515 Mallard Creek Road, Charlotte, NC, 28262"
18718,Countryside Montessori School,Currently unrated,2/10,"4755 Prosperity Church Road, Charlotte, NC, 28269"
18719,Presbyterian Academy,Currently unrated,1/10,"200 Hawthorne Lane #7d, Charlotte, NC, 28204"
18720,Rod of God Christian Academy,Currently unrated,9/10,"7300 S Tryon St, Charlotte, NC, 28217"
18721,Omni Montessori School,Currently unrated,8/10,"9536 Blakeney Heath Road, Charlotte, NC, 28277"
18722,United Faith Christian Academy,Currently unrated,8/10,"8617 Providence Road, Charlotte, NC, 28277"
18723,Victory Christian Center School,Currently unrated,7/10,"1501 Carrier Drive, Charlotte, NC, 28216"
18724,St. Matthew Catholic School,Currently unrated,6/10,"11525 Elm Lane, Charlotte, NC, 28277"
18725,Brisbane Academy,Currently unrated,6/10,"5901 Statesville Road, Charlotte, NC, 28269"
18726,Paw Creek Christian Academy,Currently unrated,6/10,"5110 Tuckaseegee Road, Charlotte, NC, 28208"
18727,Evelyn Mack Academy,Currently unrated,6/10,"6850 Monroe Road, Charlotte, NC, 28212"
18728,Hickory Grove Christian School,Currently unrated,6/10,"7200 E W T Harris Blvd, Charlotte, NC, 28215"
18729,Holy Trinity Catholic Middle School,Currently unrated,6/10,"3100 Park Road, Charlotte, NC, 28209"
18730,Charlotte Preparatory School,Currently unrated,5/10,"212 Boyce Road, Charlotte, NC, 28211"
18731,Countryside Montessori School,Currently unrated,5/10,"9026 Mallard Creek Rd, Charlotte, NC, 28262"
18732,St. Ann Catholic School,Currently unrated,5/10,"600 Hillside Avenue, Charlotte, NC, 28209"
18733,Charlotte Islamic Academy,Currently unrated,5/10,"4301 Shamrock Drive, Charlotte, NC, 28215"
18734,Manus Academy,Currently unrated,5/10,"6203 Carmel Road, Charlotte, NC, 28226"
18735,Trinity Christian Preparatory School,Currently unrated,4/10,"7516 East Independence Blvd, Charlotte, NC, 28227"
18736,Metrolina Regional Scholars Academy,Currently unrated,3/10,"5225 - Seventy seven Center Dr, Charlotte NC 28217, Charlotte, NC, 28217"
18737,Pathway Pre-School Center,Currently unrated,3/10,"1131 Eastway Drive, Charlotte, NC, 28205"
18738,Christ Church Kindergarten,Currently unrated,3/10,"1412 Providence Road, Charlotte, NC, 28207"
18739,Back Creek Christian Academy,Currently unrated,2/10,"1827 Back Creek Church Road, Charlotte, NC, 28213"
18740,Anami Montessori School,Currently unrated,9/10,"2901 Archdale Drive, Charlotte, NC, 28210"
18741,Charlotte Montessori School,Currently unrated,8/10,"219 East Boulevard, Charlotte, NC, 28203"
18742,Chesterbrook Academy Mallard Creek,Currently unrated,8/10,"8515 Mallard Creek Road, Charlotte, NC, 28262"
18743,Countryside Montessori School,Currently unrated,7/10,"4755 Prosperity Church Road, Charlotte, NC, 28269"
18744,Presbyterian Academy,Currently unrated,6/10,"200 Hawthorne Lane #7d, Charlotte, NC, 28204"
18745,Rod of God Christian Academy,Currently unrated,6/10,"7300 S Tryon St, Charlotte, NC, 28217"
18746,Calvary Child Development Center,Currently unrated,6/10,"5801 Pineville-Matthews Road, Charlotte, NC, 28226"
18747,Sharon Baptist Weekday School,Currently unrated,6/10,"6411 Sharon Rd, Charlotte, NC, 28210"
18748,Northside Christian Academy,Currently unrated,6/10,"333 Jeremiah Blvd, Charlotte, NC, 28262"
18749,Plaza Road Academy,Currently unrated,6/10,"6035 Hunters Crossing Lane, Charlotte, NC, 28215"
18750,Trinity Episcopal School,Currently unrated,5/10,"750 East 9th Street, Charlotte, NC, 28202"
18751,British International School,Currently unrated,5/10,"7000 Endhaven Lane, Charlotte, NC, 28277"
18752,New Life Christian Academy,Currently unrated,5/10,"1337 Samuel Street, Charlotte, NC, 28206"
18753,Carolina Montessori Academy,Currently unrated,5/10,"1524 Mount Holly-Huntersville Road, Charlotte, NC, 28214"
18754,Peters Academy,Currently unrated,5/10,"5120 Rea Rd, Charlotte, NC, 28226"
18755,Cyzner Institute,Currently unrated,4/10,"7022 Sardis Road, Charlotte, NC, 28270"
18756,Covenant Presbyterian Pre-School,Currently unrated,3/10,"1000 East Morehead Street, Charlotte, NC, 28204"
18757,Westminster Presbyterian Day Care,Currently unrated,3/10,"101 Colville Road, Charlotte, NC, 28207"
18758,Miss Wanda's Nursery,Currently unrated,3/10,"1011 Clanton Road, Charlotte, NC, 28217"
18759,El Shaddai Child Care Center,Currently unrated,2/10,"10124 Atkins Ridge Drive, Charlotte, NC, 28213"
18760,Providence Presbyterian Pre-School,Currently unrated,8/10,"10140 Providence Church Lane, Charlotte, NC, 28277"
18761,Tiger and Nubee Day Care,Currently unrated,8/10,"1019 Pryor St, Charlotte, NC, 28208"
18762,Ms Mary's Christian Academy,Currently unrated,8/10,"1021 Polk Street, Charlotte, NC, 28206"
18763,Tiny Tyke Learning Center,Currently unrated,8/10,"1031 Glenfiddich Dr, Charlotte, NC, 28215"
18764,Shelia's Wonderland,Currently unrated,7/10,"1032 White Plains Road, Charlotte, NC, 28213"
18765,Peyton's Place Child Care Center,Currently unrated,7/10,"10320 Wakerobin Lane, Charlotte, NC, 28213"
18766,Primrose School-Park Crossing,Currently unrated,7/10,"Huntingtowne Farms Lane, Charlotte, NC, 28210"
18767,Little Learners Day Care Center,Currently unrated,7/10,"1076 Tom Hunter Road, Charlotte, NC, 28213"
18768,Mrs Rane's Learning Room,Currently unrated,7/10,"10807 Wyndham Pointe Drive, Charlotte, NC, 28213"
18769,Wee Care Christian Day Care,Currently unrated,7/10,"1112 Opal St, Charlotte, NC, 28208"
