,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
20,"3/10Below averageLima West Middle School503 North Cable Road, Lima, OH, 45805 Homes for sale",Public district,7-9,428.0,13:1,4 reviews,Lima City School District
21,"2/10Below averageHigh School Of Multiple Intelligences1 Spartan Way, Lima, OH, 45801 Homes for sale",Public district,9-12,1048.0,13:1,No reviews yet,Lima City School District
22,"Currently unratedKid's Depot Dcc136 East 4th Street, Lima, OH, 45804 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedAbc 123 Enrichment Child Care Center600 North West Street, Lima, OH, 45801 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedLearning Castle Child Care Center-West1251 North Cole Street, Lima, OH, 45801 Homes for sale",Private,PK,,,No reviews yet,
0,"8/10Above averageAdams Elementary School7401 Jacobs Creek Drive, Lincoln, NE, 68512 Homes for sale",Public district,PK-5,827.0,18:1,3 reviews,Lincoln Public Schools
1,"8/10Above averageKloefkorn Elementary School6601 Glass Ridge Drive, Lincoln, NE, 68526 Homes for sale",Public district,PK-5,497.0,17:1,2 reviews,Lincoln Public Schools
2,"8/10Above averageCavett Elementary School7701 South 36th Street, Lincoln, NE, 68516 Homes for sale",Public district,PK-5,692.0,16:1,4 reviews,Lincoln Public Schools
3,"8/10Above averageLux Middle School7800 High Street, Lincoln, NE, 68506 Homes for sale",Public district,6-8,917.0,16:1,8 reviews,Lincoln Public Schools
4,"8/10Above averageScott Middle School2200 Pine Lake Road, Lincoln, NE, 68512 Homes for sale",Public district,6-8,1146.0,17:1,5 reviews,Lincoln Public Schools
5,"8/10Above averageEastridge Elementary School6245 L Street, Lincoln, NE, 68510 Homes for sale",Public district,PK-5,320.0,14:1,3 reviews,Lincoln Public Schools
6,"8/10Above averageKahoa Elementary School7700 Leighton Avenue, Lincoln, NE, 68507 Homes for sale",Public district,PK-5,592.0,16:1,6 reviews,Lincoln Public Schools
7,"8/10Above averageRousseau Elementary School3701 South 33rd Street, Lincoln, NE, 68506 Homes for sale",Public district,PK-5,582.0,16:1,1 review,Lincoln Public Schools
8,"8/10Above averageRuth Hill Elementary School5230 Tipperary Trail, Lincoln, NE, 68512 Homes for sale",Public district,PK-5,560.0,15:1,3 reviews,Lincoln Public Schools
9,"7/10Above averageWysong Elementary7901 Blanchard Boulevard, Lincoln, NE, 68516 Homes for sale",Public district,PK-5,435.0,,2 reviews,Lincoln Public Schools
10,"7/10Above averageMaxey Elementary School5200 South 75th Street, Lincoln, NE, 68516 Homes for sale",Public district,PK-5,670.0,16:1,No reviews yet,Lincoln Public Schools
11,"7/10Above averageBelmont Elementary School3425 North 14th Street, Lincoln, NE, 68521 Homes for sale",Public district,PK-5,749.0,12:1,No reviews yet,Lincoln Public Schools
12,"7/10Above averageMorley Elementary School6800 Monterey Drive, Lincoln, NE, 68506 Homes for sale",Public district,PK-5,520.0,17:1,1 review,Lincoln Public Schools
13,"7/10Above averagePound Middle School4740 South 45th Street, Lincoln, NE, 68516 Homes for sale",Public district,6-8,816.0,16:1,8 reviews,Lincoln Public Schools
14,"7/10Above averagePyrtle Elementary School721 Cottonwood Drive, Lincoln, NE, 68510 Homes for sale",Public district,PK-5,435.0,16:1,2 reviews,Lincoln Public Schools
15,"7/10Above averageSheridan Elementary School3100 Plymouth Avenue, Lincoln, NE, 68502 Homes for sale",Public district,PK-5,480.0,16:1,4 reviews,Lincoln Public Schools
16,"7/10Above averageZeman Elementary School4900 South 52nd Street, Lincoln, NE, 68516 Homes for sale",Public district,PK-5,420.0,16:1,4 reviews,Lincoln Public Schools
17,"7/10Above averageHumann Elementary School710 Hill Street, Lincoln, NE, 68502 Homes for sale",Public district,PK-5,500.0,16:1,5 reviews,Lincoln Public Schools
18,"6/10AverageKooser Elementary School7301 North 13th Street, Lincoln, NE, 68521 Homes for sale",Public district,PK-5,808.0,15:1,10 reviews,Lincoln Public Schools
19,"6/10AverageBeattie Elementary School1901 Calvert Street, Lincoln, NE, 68502 Homes for sale",Public district,PK-5,354.0,15:1,1 review,Lincoln Public Schools
20,"6/10AverageHolmes Elementary School5230 Sumner Street, Lincoln, NE, 68506 Homes for sale",Public district,PK-5,415.0,13:1,2 reviews,Lincoln Public Schools
21,"6/10AverageIrving Middle School2745 South 22nd Street, Lincoln, NE, 68502 Homes for sale",Public district,6-8,836.0,13:1,3 reviews,Lincoln Public Schools
22,"6/10AverageFredstrom Elementary School5700 Northwest 10th Street, Lincoln, NE, 68521 Homes for sale",Public district,PK-5,469.0,14:1,No reviews yet,Lincoln Public Schools
23,"5/10AverageSchoo Middle School700 Penrose Drive, Lincoln, NE, 68521 Homes for sale",Public district,6-8,862.0,15:1,1 review,Lincoln Public Schools
24,"5/10AverageRoper Elementary School2323 South Coddington Avenue, Lincoln, NE, 68522 Homes for sale",Public district,PK-5,892.0,15:1,4 reviews,Lincoln Public Schools
0,"9/10Above averageChenal Elementary School21201 Denny Road, Little Rock, AR, 72223 Homes for sale",Public district,K-5,497.0,17:1,5 reviews,Jacksonville North Pulaski School District
1,"8/10Above averageForest Park Elementary School1600 North Tyler Street, Little Rock, AR, 72207 Homes for sale",Public district,PK-5,473.0,18:1,8 reviews,Little Rock School District
2,"8/10Above averageJefferson Elementary School2600 North McKinley Street, Little Rock, AR, 72207 Homes for sale",Public district,PK-5,384.0,18:1,4 reviews,Little Rock School District
3,"8/10Above averageE-Stem Public Charter High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Arkansas112 West 3rd Street, Little Rock, AR, 72201 Homes for sale",Public charter,9-12,460.0,11:1,12 reviews,Estem High Charter
4,"8/10Above averageDon Roberts Elementary School16601 LaMarche Dr., Little Rock, AR, 72223 Homes for sale",Public district,K-5,920.0,19:1,7 reviews,Little Rock School District
5,"7/10Above averageForest Heights Stem Academy5901 Evergreen Drive, Little Rock, AR, 72205 Homes for sale",Public district,K-8,719.0,15:1,13 reviews,Little Rock School District
6,"7/10Above averageGibbs Magnet Elementary School1115 West 16th Street, Little Rock, AR, 72202 Homes for sale",Public district,PK-5,305.0,15:1,8 reviews,Little Rock School District
7,"7/10Above averageParkview Magnet High School1 awardAwards & BadgesCollege Success Award2020See all winners in Arkansas2501 John Barrow Road, Little Rock, AR, 72204 Homes for sale",Public district,9-12,1111.0,13:1,6 reviews,Little Rock School District
8,"7/10Above averageWilliams Magnet Elementary School7301 Evergreen Drive, Little Rock, AR, 72207 Homes for sale",Public district,K-5,486.0,18:1,24 reviews,Little Rock School District
9,"7/10Above averageBaker Interdistrict Elementary School15001 Kanis Road, Little Rock, AR, 72223 Homes for sale",Public district,K-5,381.0,18:1,15 reviews,Jacksonville North Pulaski School District
10,"7/10Above averageJoe T. Robinson Elementary School21600 Arkansas 10, Little Rock, AR, 72223 Homes for sale",Public district,PK-5,221.0,19:1,8 reviews,Jacksonville North Pulaski School District
11,"7/10Above averageLisa Academy21 Corporate Hill Dr, Little Rock, AR, 72205 Homes for sale",Public charter,7-8,355.0,15:1,24 reviews,Lisa Academy Charter
12,"6/10AverageTerry Elementary School10800 Mara Lynn Dr, Little Rock, AR, 72211 Homes for sale",Public district,PK-5,448.0,19:1,7 reviews,Little Rock School District
13,"6/10AverageWakefield Elementary School75 Westminister Drive, Little Rock, AR, 72209 Homes for sale",Public district,K-5,554.0,19:1,No reviews yet,Little Rock School District
14,"6/10AverageLisa Academy High3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Arkansas6711 W Markham Little Rock, Little Rock, AR, 72205 Homes for sale",Public charter,9-12,399.0,15:1,7 reviews,Lisa Academy Charter
15,"6/10AverageEast End Intermediate School5205 West Sawmill Road, Little Rock, AR, 72206 Homes for sale",Public district,3-6,530.0,20:1,2 reviews,Sheridan School District
16,"6/10AverageLisa Academy Chenal12200 Westhaven Drive, Little Rock, AR, 72211 Homes for sale",Public charter,K-6,586.0,,No reviews yet,Lisa Academy Charter
17,"5/10AverageCentral High School1500 South Park Street, Little Rock, AR, 72202 Homes for sale",Public district,9-12,2347.0,15:1,5 reviews,Little Rock School District
18,"5/10AverageFulbright Elementary School300 Pleasant Valley Drive, Little Rock, AR, 72212 Homes for sale",Public district,PK-5,605.0,19:1,14 reviews,Little Rock School District
19,"5/10AveragePulaski Heights Elementary School319 North Pine Street, Little Rock, AR, 72205 Homes for sale",Public district,K-5,285.0,20:1,7 reviews,Little Rock School District
20,"5/10AverageRockefeller Incentive Elementary School700 East 17th Street, Little Rock, AR, 72206 Homes for sale",Public district,PK-5,459.0,15:1,No reviews yet,Little Rock School District
21,"5/10AverageOtter Creek Elementary School16000 Otter Creek Parkway, Little Rock, AR, 72210 Homes for sale",Public district,K-5,452.0,20:1,3 reviews,Little Rock School District
22,"5/10AverageArk. School For The Blind Elementary2600 West Markham Street, Little Rock, AR, 72205 Homes for sale",Public district,PK-6,46.0,2:1,No reviews yet,Ark. School For The Blind
23,"5/10AverageLandmark Elementary School16712 Arch Street Pike, Little Rock, AR, 72206 Homes for sale",Public district,PK-5,265.0,16:1,6 reviews,Jacksonville North Pulaski School District
24,"5/10AverageLawson Elementary School19901 Lawson Road, Little Rock, AR, 72210 Homes for sale",Public district,PK-5,290.0,18:1,6 reviews,Jacksonville North Pulaski School District
0,"7/10Above averageEllerth E. Larson Elementary School2375 Giannoni Way, Lodi, CA, 95242 Homes for sale",Public district,K-6,802.0,23:1,9 reviews,Lodi Unified School District
1,"7/10Above averageVinewood Elementary School1600 West Tokay Street, Lodi, CA, 95242 Homes for sale",Public district,K-6,583.0,22:1,8 reviews,Lodi Unified School District
2,"6/10AverageLodi High School3 South Pacific Avenue, Lodi, CA, 95242 Homes for sale",Public district,9-12,2157.0,24:1,12 reviews,Lodi Unified School District
3,"6/10AverageErma B. Reese Elementary School1800 West Elm Street, Lodi, CA, 95242 Homes for sale",Public district,K-6,625.0,21:1,6 reviews,Lodi Unified School District
4,"6/10AverageTokay High School1111 West Century Boulevard, Lodi, CA, 95240 Homes for sale",Public district,9-12,2061.0,23:1,10 reviews,Lodi Unified School District
5,"5/10AverageJoe Serna Jr. Charter School19 South Central Avenue, Lodi, CA, 95240 Homes for sale",Public charter,K-8,360.0,21:1,3 reviews,Lodi Unified School District
6,"5/10AverageLois E. Borchardt Elementary School375 Culbertson Drive, Lodi, CA, 95240 Homes for sale",Public district,K-6,794.0,24:1,7 reviews,Lodi Unified School District
7,"5/10AverageHeritage Elementary School509 Eden Street, Lodi, CA, 95240 Homes for sale",Public district,PK-6,514.0,24:1,No reviews yet,Lodi Unified School District
8,"5/10AverageLakewood Elementary School1100 North Ham Lane, Lodi, CA, 95242 Homes for sale",Public district,K-6,545.0,22:1,9 reviews,Lodi Unified School District
9,"5/10AverageLeroy Nichols Elementary School1301 South Crescent Avenue, Lodi, CA, 95240 Homes for sale",Public district,K-6,335.0,23:1,2 reviews,Lodi Unified School District
10,"4/10Below averageMillswood Middle School233 North Mills Ave, Lodi, CA, 95242 Homes for sale",Public district,7-8,849.0,26:1,10 reviews,Lodi Unified School District
11,"4/10Below averageWoodbridge School1290 Lilac Street, Lodi, CA, 95242 Homes for sale",Public district,K-6,399.0,23:1,No reviews yet,Lodi Unified School District
12,"4/10Below averageClyde W. Needham Elementary School420 South Pleasant Avenue, Lodi, CA, 95240 Homes for sale",Public district,K-6,348.0,20:1,2 reviews,Lodi Unified School District
13,"4/10Below averageRio Valley Charter School1110 West Kettleman Drive, Suite 10, Lodi, CA, 95240 Homes for sale",Public charter,K-12,833.0,,7 reviews,Lodi Unified School District
14,"4/10Below averageLawrence Elementary School721 Calaveras Street, Lodi, CA, 95240 Homes for sale",Public district,PK-6,511.0,22:1,4 reviews,Lodi Unified School District
15,"4/10Below averageLive Oak Elementary School5099 East Bear Creek Road, Lodi, CA, 95240 Homes for sale",Public district,K-6,272.0,20:1,3 reviews,Lodi Unified School District
16,"4/10Below averageLodi Middle School945 South Ham Lane, Lodi, CA, 95242 Homes for sale",Public district,7-8,1011.0,25:1,5 reviews,Lodi Unified School District
17,"4/10Below averageGeorge Washington Elementary School831 West Lockeford Street, Lodi, CA, 95240 Homes for sale",Public district,PK-6,445.0,23:1,3 reviews,Lodi Unified School District
18,"2/10Below averageBeckman Elementary School2201 Scarborough Drive, Lodi, CA, 95240 Homes for sale",Public district,PK-6,606.0,25:1,5 reviews,Lodi Unified School District
19,"1/10Below averageHenderson13451 North Extension Road, Lodi, CA, 95242 Homes for sale",Public district,7-8,50.0,15:1,2 reviews,Lodi Unified School District
20,"Currently unratedLodi Adult542 East Pine Street, Lodi, CA, 95240 Homes for sale",Public district,Ungraded,,,No reviews yet,Lodi Unified School District
21,"Currently unratedHappy Hours Preschool & Kindergarten444 West Turner Road, Lodi, CA, 95240 Homes for sale",Private,PK-K,117.0,,No reviews yet,
22,"Currently unratedLodi Day Nursery School760 South Ham Lane, Lodi, CA, 95242 Homes for sale",Private,PK,,,4 reviews,
23,"Currently unratedNorth Valley School-Lodi12755 North Highway 88, Lodi, CA, 95240 Homes for sale",Private,2-12,53.0,,No reviews yet,
24,"Currently unratedPilgrim West Academy10320 East Kettleman Lane, Lodi, CA, 95240 Homes for sale",Private,1-12,,,No reviews yet,
0,"10/10Top ratedGant Elementary School1854 Britton Drive, Long Beach, CA, 90815 Homes for sale",Public district,K-5,562.0,25:1,24 reviews,Long Beach Unified School District
1,"10/10Top ratedKettering Elementary School550 Silvera Avenue, Long Beach, CA, 90803 Homes for sale",Public district,K-5,333.0,21:1,15 reviews,Long Beach Unified School District
2,"10/10Top ratedNaples Elementary School5537 The Toledo, Long Beach, CA, 90803 Homes for sale",Public district,K-5,347.0,27:1,16 reviews,Long Beach Unified School District
3,"10/10Top ratedEunice Sato Academy Of Math & Science1100 Iroquois Avenue, Long Beach, CA, 90815 Homes for sale",Public district,9-12,402.0,16:1,4 reviews,Long Beach Unified School District
4,"9/10Above averageFremont Elementary School4000 East Fourth Street, Long Beach, CA, 90814 Homes for sale",Public district,K-5,501.0,29:1,19 reviews,Long Beach Unified School District
5,"9/10Above averageLowell Elementary School5201 East Broadway, Long Beach, CA, 90803 Homes for sale",Public district,K-5,656.0,26:1,10 reviews,Long Beach Unified School District
6,"9/10Above averageNewcomb Academy3351 Val Verde Avenue, Long Beach, CA, 90808 Homes for sale",Public district,K-8,791.0,25:1,36 reviews,Long Beach Unified School District
7,"9/10Above averagePrisk Elementary School2375 Fanwood Avenue, Long Beach, CA, 90815 Homes for sale",Public district,K-5,567.0,23:1,11 reviews,Long Beach Unified School District
8,"9/10Above averageTincher Preparatory School1701 Petaluma Avenue, Long Beach, CA, 90815 Homes for sale",Public district,K-8,718.0,23:1,7 reviews,Long Beach Unified School District
9,"9/10Above averageErnest S. McBride Sr. High School7025 East Parkcrest Street, Long Beach, CA, 90808 Homes for sale",Public district,9-12,744.0,23:1,18 reviews,Long Beach Unified School District
10,"8/10Above averageBixby Elementary School5251 East Stearns Street, Long Beach, CA, 90815 Homes for sale",Public district,K-5,464.0,25:1,21 reviews,Long Beach Unified School District
11,"8/10Above averageCarver Elementary School5335 East Pavo Street, Long Beach, CA, 90808 Homes for sale",Public district,K-5,529.0,24:1,10 reviews,Long Beach Unified School District
12,"8/10Above averageCubberley K-83200 Monogram Avenue, Long Beach, CA, 90808 Homes for sale",Public district,K-8,1004.0,26:1,20 reviews,Long Beach Unified School District
13,"8/10Above averageEmerson Parkside Academy2625 Josie Avenue, Long Beach, CA, 90815 Homes for sale",Public district,K-5,448.0,27:1,26 reviews,Long Beach Unified School District
14,"8/10Above averageHenry K-83720 Canehill Avenue, Long Beach, CA, 90808 Homes for sale",Public district,K-5,846.0,30:1,21 reviews,Long Beach Unified School District
15,"8/10Above averageLafayette Elementary School2445 Chestnut Avenue, Long Beach, CA, 90806 Homes for sale",Public district,K-5,912.0,25:1,4 reviews,Long Beach Unified School District
16,"8/10Above averageLos Cerritos Elementary School515 West San Antonio Drive, Long Beach, CA, 90807 Homes for sale",Public district,K-5,527.0,28:1,3 reviews,Long Beach Unified School District
17,"8/10Above averageMarshall Academy Of The Arts5870 East Wardlow Road, Long Beach, CA, 90808 Homes for sale",Public district,6-8,886.0,24:1,20 reviews,Long Beach Unified School District
18,"8/10Above averageIVA - Intellectual Virtues Academy Middle School3601 Linden Avenue, Long Beach, CA, 90807 Homes for sale",Public charter,6-8,231.0,,22 reviews,Long Beach Unified School District
19,"8/10Above averageHelen Keller Middle7020 East Brittain Street, Long Beach, CA, 90808 Homes for sale",Public district,6-8,358.0,21:1,5 reviews,Long Beach Unified School District
20,"7/10Above averageKing Elementary School145 East Artesia Boulevard, Long Beach, CA, 90805 Homes for sale",Public district,K-5,734.0,25:1,4 reviews,Long Beach Unified School District
21,"7/10Above averageBancroft Middle School5301 East Centralia Street, Long Beach, CA, 90808 Homes for sale",Public district,6-8,935.0,27:1,9 reviews,Long Beach Unified School District
22,"7/10Above averageHughes Middle School3846 California Avenue, Long Beach, CA, 90807 Homes for sale",Public district,6-8,1467.0,29:1,19 reviews,Long Beach Unified School District
23,"7/10Above averageInternational Elementary School700 Locust Avenue, Long Beach, CA, 90813 Homes for sale",Public district,K-5,694.0,25:1,3 reviews,Long Beach Unified School District
24,"7/10Above averageJefferson Leadership Academies School750 Euclid Avenue, Long Beach, CA, 90804 Homes for sale",Public district,6-8,1085.0,29:1,13 reviews,Long Beach Unified School District
0,"10/10Top ratedHudson Elementary School1311 Lilly St, Longview, TX, 75602 Homes for sale",Public district,1-5,602.0,19:1,No reviews yet,Longview Independent School District
1,"7/10Above averageNed E Williams Elementary School5230 Estes Pkwy, Longview, TX, 75603 Homes for sale",Public district,1-5,402.0,16:1,No reviews yet,Longview Independent School District
2,"7/10Above averageBramlette Steam Academy111 Tupelo Drive, Longview, TX, 75601 Homes for sale",Public charter,1-5,453.0,,No reviews yet,Longview Independent School District
3,"7/10Above averageFoster Middle School1504 Mlk Bl, Longview, TX, 75602 Homes for sale",Public district,6-8,736.0,15:1,3 reviews,Longview Independent School District
4,"7/10Above averageDan Chadwick Campus2402 Alpine Road, Longview, TX, 75601 Homes for sale",Public charter,9-12,140.0,14:1,No reviews yet,East Texas Charter Schools
5,"6/10AverageJ L Everhart Magnet Elementary School2919 Tryon Rd, Longview, TX, 75605 Homes for sale",Public district,"PK, 1-5",564.0,17:1,No reviews yet,Longview Independent School District
6,"6/10AverageBirch Elementary School815 Birch Dr, Longview, TX, 75604 Homes for sale",Public district,1-4,678.0,,No reviews yet,Pine Tree Independent School District
7,"6/10AverageForest Park Magnet School1644 N Eastman Rd, Longview, TX, 75601 Homes for sale",Public district,6-8,478.0,14:1,2 reviews,Longview Independent School District
8,"6/10AverageSpring Hill Intermediate School3101 Spring Hill Road, Longview, TX, 75605 Homes for sale",Public district,3-5,489.0,15:1,1 review,Spring Hill Independent School District
9,"6/10AverageSpring Hill J High School3101 Spring Hill Road, Longview, TX, 75605 Homes for sale",Public district,6-8,463.0,14:1,No reviews yet,Spring Hill Independent School District
10,"5/10AverageSouth Ward Elementary School1011 S Mobberly Ave, Longview, TX, 75602 Homes for sale",Public district,1-5,397.0,16:1,1 review,Longview Independent School District
11,"5/10AveragePine Tree High School1005 W Fairmont St, Longview, TX, 75604 Homes for sale",Public district,9-12,1266.0,13:1,5 reviews,Pine Tree Independent School District
12,"5/10AveragePine Tree J High School2100 N W LOOP 281, Longview, TX, 75604 Homes for sale",Public district,7-8,705.0,14:1,No reviews yet,Pine Tree Independent School District
13,"5/10AverageSpring Hill High School1 awardAwards & BadgesCollege Success Award2019See all winners in Texas3101 Spring Hill Road, Longview, TX, 75605 Homes for sale",Public district,9-12,525.0,12:1,11 reviews,Spring Hill Independent School District
14,"4/10Below averageJudson Steam Academy5745 Judson Road, Longview, TX, 75605 Homes for sale",Public charter,6-8,498.0,,No reviews yet,Longview Independent School District
15,"4/10Below averageLongview High School201 E Tomlinson Pkwy, Longview, TX, 75605 Homes for sale",Public district,9-12,2141.0,15:1,13 reviews,Longview Independent School District
16,"3/10Below averageJohnston-Mcqueen Elementary School422 FM-2751, Longview, TX, 75605 Homes for sale",Public district,PK-5,672.0,16:1,7 reviews,Longview Independent School District
17,"3/10Below averagePine Tree Middle School600 PT PKWY, Longview, TX, 75604 Homes for sale",Public district,5-6,725.0,14:1,4 reviews,Pine Tree Independent School District
18,"2/10Below averageWare Elementary School601 W Garfield Dr, Longview, TX, 75602 Homes for sale",Public district,1-5,476.0,20:1,No reviews yet,Longview Independent School District
19,"2/10Below averageLead Academy High School410 S Green St, Longview, TX, 75601 Homes for sale",Public district,8-12,119.0,14:1,No reviews yet,Longview Independent School District
20,"2/10Below averageExcel High School Of Choice1005 W Fairmont St, Longview, TX, 75604 Homes for sale",Public district,9-12,41.0,16:1,No reviews yet,Pine Tree Independent School District
21,"Currently unratedAlpine Christian Academy610 East Loop 281, Longview, TX, 75605 Homes for sale",Private,PK-K,175.0,,3 reviews,
22,"Currently unratedCamp Fire Kids Care-Bramlette111 Tupelo Dr, Longview, TX, 75601 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedJordan Country Day School1208 Pine Tree Road, Longview, TX, 75604 Homes for sale",Private,PK,,,5 reviews,
24,"Currently unratedLongview Child Development Center1230 South High Street, Longview, TX, 75602 Homes for sale",Private,PK,,,1 review,
0,"8/10Above averageMt. Solo Middle School5300 Mt. Solo Rd, Longview, WA, 98632 Homes for sale",Public district,6-8,425.0,21:1,1 review,Longview School District
1,"7/10Above averageRobert Gray Elementary School4622 Ohio St, Longview, WA, 98632 Homes for sale",Public district,K-5,447.0,20:1,2 reviews,Longview School District
2,"7/10Above averageColumbia Valley Garden Elementary School2644 30th Ave, Longview, WA, 98632 Homes for sale",Public district,K-5,413.0,24:1,3 reviews,Longview School District
3,"6/10AverageMint Valley Elementary School2745 38th Ave, Longview, WA, 98632 Homes for sale",Public district,K-5,433.0,18:1,4 reviews,Longview School District
4,"6/10AverageMonticello Middle School1225 28th Ave, Longview, WA, 98632 Homes for sale",Public district,6-8,502.0,20:1,6 reviews,Longview School District
5,"6/10AverageOlympic Elementary School1324 30th Ave, Longview, WA, 98632 Homes for sale",Public district,K-5,392.0,21:1,7 reviews,Longview School District
6,"6/10AverageNorthlake Elementary School2210 Olympia Way, Longview, WA, 98632 Homes for sale",Public district,K-5,302.0,20:1,6 reviews,Longview School District
7,"5/10AverageCascade Middle School2821 Parkview Dr, Longview, WA, 98632 Homes for sale",Public district,6-8,550.0,20:1,3 reviews,Longview School District
8,"5/10AverageColumbia Heights Elementary School2820 Parkview Dr, Longview, WA, 98632 Homes for sale",Public district,K-5,355.0,23:1,7 reviews,Longview School District
9,"5/10AverageMark Morris High School1602 Mark Morris Court, Longview, WA, 98632 Homes for sale",Public district,9-12,994.0,23:1,4 reviews,Longview School District
10,"5/10AverageR A Long High School2903 Nichols Blvd, Longview, WA, 98632 Homes for sale",Public district,9-12,909.0,22:1,2 reviews,Longview School District
11,"4/10Below averageBeacon Hill Elementary School257 Alpha Drive, Longview, WA, 98632 Homes for sale",Public district,K-5,513.0,20:1,5 reviews,Kelso School District
12,"3/10Below averageKessler Elementary School1902 E. Kessler Blvd, Longview, WA, 98632 Homes for sale",Public district,K-5,321.0,17:1,4 reviews,Longview School District
13,"3/10Below averageSaint Helens Elementary School431 27th Ave, Longview, WA, 98632 Homes for sale",Public district,PK-5,357.0,20:1,5 reviews,Longview School District
14,"Currently unratedSt Rose School720 26th Avenue, Longview, WA, 98632 Homes for sale",Private,PK-8,174.0,,7 reviews,
15,"Currently unratedThree Rivers Christian School2610 Ocean Beach Highway, Longview, WA, 98632 Homes for sale",Private,K-12,246.0,,1 review,
16,"Currently unratedBroadway Learning Center1410 8th Ave, Longview, WA, 98632 Homes for sale",Public district,PK,103.0,16:1,No reviews yet,Longview School District
17,"Currently unratedKlahowya Monte Childrens HouseP.O. Box 2828, Longview, WA, 98632 Homes for sale",Private,PK-K,,,No reviews yet,
18,"Currently unratedKinderland 1 Pre-School & Child Care Center1157 Commerce Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedLittle Rascals Academy Day Care Center1053 14th Ave, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedKinderland Inc1157 Commerce Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
21,"Currently unratedPolly's Day Care1515 3rd Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedFaith Family Christian Center2203 38th Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedSon Shine Pre-School2448 46th Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedCalvary Community Pre-School2655 38th Avenue, Longview, WA, 98632 Homes for sale",Private,PK,,,No reviews yet,
0,"9/10Above averageLos Alamos High School1300 Diamond Drive, Los Alamos, NM, 87544 Homes for sale",Public district,10-12,846.0,14:1,8 reviews,Los Alamos Public Schools
1,"9/10Above averageMountain Elementary School2280 North Road, Los Alamos, NM, 87544 Homes for sale",Public district,K-6,424.0,13:1,3 reviews,Los Alamos Public Schools
2,"8/10Above averageTopper Freshman Academy3800 Canyon Road, Los Alamos, NM, 87544 Homes for sale",Public district,9,283.0,,No reviews yet,Los Alamos Public Schools
3,"8/10Above averageBarranca Mesa Elementary School57 Loma Del Escolar Street, Los Alamos, NM, 87544 Homes for sale",Public district,PK-6,466.0,13:1,7 reviews,Los Alamos Public Schools
4,"8/10Above averageLos Alamos Middle School2101 Hawk Drive, Los Alamos, NM, 87544 Homes for sale",Public district,7-8,633.0,13:1,2 reviews,Los Alamos Public Schools
5,"7/10Above averageAspen Elementary School2182 33rd Street, Los Alamos, NM, 87544 Homes for sale",Public district,K-6,432.0,13:1,8 reviews,Los Alamos Public Schools
6,"Currently unratedThe Family Ymca1415 Iris Street, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
7,"Currently unratedYMCA After Kindergarten1415 Iris St, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
8,"Currently unratedLewis' Day Care Center1991 41st St # B, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
9,"Currently unratedLittle Forest Playschool3880 Villa Street, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
10,"Currently unratedChristian Montessori3900 Trinity Dr, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
11,"Currently unratedQuemazon Montessori School4600 Esperanza, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
12,"Currently unratedHorizons Child Care Center580 Meadow Lane, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,1 review,
13,"Currently unratedArk Child Development Center715 Diamond Dr, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,1 review,
14,"Currently unratedChildren's Montessori Ps1060 Nugget Street, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,1 review,
15,"Currently unratedSage Cottage Montessori School142 Meadow Lane, Los Alamos, NM, 87544 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedBilingual Montessori School115 Longview Drive, Los Alamos, NM, 87544 Homes for sale",Private,PK-K,,,No reviews yet,
17,"Currently unratedPonderosa Montessori School304 Rover Boulevard, Los Alamos, NM, 87544 Homes for sale",Private,PK-4,45.0,,3 reviews,
18,"Currently unratedCanyoncito Montessori School & Child Care CenterPo Box 1261, Los Alamos, NM, 87544 Homes for sale",Private,PK-6,50.0,,No reviews yet,
0,"10/10Top ratedFrancisco Bravo Medical Magnet High School1200 North Cornwell Street, Los Angeles, CA, 90033 Homes for sale",Public district,9-12,1861.0,26:1,26 reviews,Los Angeles Unified School District
